Orientation,WWR,Angle,Shading Type,sDA,BlindClosed,Heating Penalty,Cooling Benefit,Total Energy
E,25,5,Eggcrate,0.27498,0.347945,-0.6014756944444445,0.030562789351852256,-0.555150705166532
E,25,10,Eggcrate,0.3,0.316438,-0.5831597222222222,-0.022063078703703373,-0.5885133471670245
E,25,15,Eggcrate,0.28752,0.295616,-0.56484375,-0.074688946759259,-0.621875989167517
E,25,20,Eggcrate,0.30834,0.261918,-0.5518229166666667,-0.11144567418981466,-0.6449565645552707
E,25,25,Eggcrate,0.29166,0.230411,-0.5388020833333333,-0.1482024016203703,-0.6680371399430245
E,25,30,Eggcrate,0.29166,0.200548,-0.5257812500000001,-0.18495912905092596,-0.6911177153307783
E,25,35,Eggcrate,0.27498,0.169041,-0.5153645833333333,-0.21130220389660506,-0.7066044150576216
E,25,40,Eggcrate,0.2625,0.141918,-0.5049479166666667,-0.23764527874228414,-0.722091114784465
E,25,45,Eggcrate,0.22914,0.126301,-0.49453125000000003,-0.26398835358796324,-0.7375778145113083
E,25,5,Horizontal,0.28332,0.347945,-0.609201388888889,0.04515094521604963,-0.5484777078277592
E,25,10,Horizontal,0.32082,0.316438,-0.5986111111111111,0.0071132330246913705,-0.5751673524894787
E,25,15,Horizontal,0.3375,0.295616,-0.5880208333333333,-0.030924479166666873,-0.6018569971511983
E,25,20,Horizontal,0.34584,0.268219,-0.5776909722222222,-0.0629189573688271,-0.6229234809317817
E,25,25,Horizontal,0.375,0.230411,-0.5673611111111111,-0.09491343557098736,-0.643989964712365
E,25,30,Horizontal,0.38748,0.210959,-0.55703125,-0.1269079137731476,-0.6650564484929484
E,25,35,Horizontal,0.39168,0.181644,-0.5467881944444444,-0.15359760802469116,-0.6810490158149572
E,25,40,Horizontal,0.43332,0.150137,-0.5365451388888889,-0.1802873022762347,-0.6970415831369661
E,25,45,Horizontal,0.42498,0.126301,-0.5263020833333333,-0.20697699652777826,-0.7130341504589749
E,25,0,No Shade,0.27084,0.372329,-0.6197916666666667,0.08318865740740788,-0.5217880631660395
E,25,5,Vertical,0.25836,0.372329,-0.6104166666666667,0.0639286747685189,-0.5314001336475225
E,25,10,Vertical,0.24582,0.372329,-0.6010416666666667,0.04466869212962993,-0.5410122041290053
E,25,15,Vertical,0.24168,0.372329,-0.5916666666666667,0.02540870949074095,-0.5506242746104882
E,25,20,Vertical,0.24582,0.366027,-0.5853298611111112,0.012704354745370313,-0.5568160236345099
E,25,25,Vertical,0.24582,0.360274,-0.5789930555555556,-3.226585665316861e-16,-0.5630077726585315
E,25,30,Vertical,0.22086,0.360274,-0.5726562500000001,-0.012704354745370959,-0.5691995216825532
E,25,35,Vertical,0.225,0.360274,-0.5678819444444445,-0.0213849103009262,-0.572997924946366
E,25,40,Vertical,0.22086,0.350411,-0.5631076388888889,-0.03006546585648144,-0.5767963282101789
E,25,45,Vertical,0.225,0.350411,-0.5583333333333333,-0.03874602141203668,-0.5805947314739918
E,30,5,Eggcrate,0.32916,0.354247,-0.5602430555555556,0.09060329861111102,-0.4566735835121168
E,30,10,Eggcrate,0.34584,0.330137,-0.5389756944444445,0.028935185185184897,-0.4959589209721107
E,30,15,Eggcrate,0.35832,0.303836,-0.5177083333333334,-0.032732928240741234,-0.5352442584321047
E,30,20,Eggcrate,0.37086,0.274521,-0.5023437500000001,-0.07604528356481524,-0.5624204269686642
E,30,25,Eggcrate,0.375,0.23863,-0.4869791666666667,-0.11935763888888923,-0.5895965955052238
E,30,30,Eggcrate,0.36252,0.217534,-0.47161458333333334,-0.16266999421296324,-0.6167727640417834
