id,displayName,primaryTypeDisplayName,rating,userRatingCount,location,shortFormattedAddress,googleMapsUri,priceRange,priceLevel,websiteUri,businessStatus,types,primaryType
ChIJ1d1uIEIFdkgRzZTYcVu4GTU,Shake Shack Clapham,Hamburger Restaurant,4.1,381,"{'latitude': 51.462281, 'longitude': -0.1376508}","188 Clapham High St, London",https://maps.google.com/?cid=3826292061319501005&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,https://www.shakeshack.co.uk/locations/clapham/?utm_source=gmb&utm_medium=organic&utm_campaign=clapham,OPERATIONAL,"['hamburger_restaurant', 'fast_food_restaurant', 'hot_dog_restaurant', 'american_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",hamburger_restaurant
ChIJE34OxkMFdkgRlWsdheGKvTs,Wingstop Clapham,Chicken Wings Restaurant,4.7,1082,"{'latitude': 51.462095299999994, 'longitude': -0.1372441}","169 Clapham High St, London",https://maps.google.com/?cid=4304749520041634709&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://www.wingstop.co.uk/?y_source=1_MTA0NTA2NDA0MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,OPERATIONAL,"['chicken_wings_restaurant', 'chicken_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",chicken_wings_restaurant
ChIJYeTdgFIEdkgRBVVfRUxO8qc,Berberè Pizzeria Clapham,Pizza Restaurant,4.5,612,"{'latitude': 51.4626327, 'longitude': -0.1379259}","67 Venn St, London",https://maps.google.com/?cid=12101821238186300677&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://www.berberepizzeria.co.uk/,OPERATIONAL,"['pizza_restaurant', 'pizza_delivery', 'meal_delivery', 'food_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",pizza_restaurant
ChIJXwOyeXIFdkgRErRzmZrUBJE,Popeyes Louisiana Chicken,Chicken Restaurant,4.9,2650,"{'latitude': 51.4626617, 'longitude': -0.1361444}","152 Clapham High St, London",https://maps.google.com/?cid=10449710795870942226&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://popeyesuk.com/restaurants/clapham,OPERATIONAL,"['chicken_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",chicken_restaurant
ChIJ_8cEL6AFdkgRd3c0BNuHt-I,Tonkotsu Clapham,Restaurant,4.8,581,"{'latitude': 51.462185899999994, 'longitude': -0.1365298}","153 Clapham High St, London",https://maps.google.com/?cid=16336675548047898487&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,https://tonkotsu.co.uk/locations/clapham/?keyword?utm_source=google,OPERATIONAL,"['restaurant', 'ramen_restaurant', 'japanese_restaurant', 'point_of_interest', 'food', 'establishment']",restaurant
ChIJM3AGgFIEdkgRLP1Hr8NxugE,Honest Burgers Clapham,Hamburger Restaurant,4.5,929,"{'latitude': 51.4625883, 'longitude': -0.13780789999999998}","York House, 75 Venn St, London",https://maps.google.com/?cid=124537024979402028&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,https://www.honestburgers.co.uk/locations/clapham/?utm_source=google&utm_medium=organic&utm_campaign=google_business&utm_id=clapham,OPERATIONAL,"['hamburger_restaurant', 'american_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",hamburger_restaurant
ChIJX3GugE0EdkgRxtPtMFsTMJc,Five Guys Burgers and Fries Clapham,Hamburger Restaurant,4.3,1449,"{'latitude': 51.462335499999995, 'longitude': -0.1374021}","182-184 Clapham High St, London",https://maps.google.com/?cid=10894228780993074118&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,https://restaurants.fiveguys.co.uk/greater-london/182-184-clapham-high-st,OPERATIONAL,"['hamburger_restaurant', 'fast_food_restaurant', 'hot_dog_stand', 'hot_dog_restaurant', 'american_restaurant', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",hamburger_restaurant
ChIJXzK1eVIEdkgRm4ZaMtcxtNU,Eco Restaurant,Italian Restaurant,4.4,1615,"{'latitude': 51.462537499999996, 'longitude': -0.1378614}","York House, 73 Venn St, London",https://maps.google.com/?cid=15398987826219091611&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",PRICE_LEVEL_MODERATE,http://www.ecorestaurants.com/,OPERATIONAL,"['italian_restaurant', 'pizza_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",italian_restaurant
ChIJgyZPwd0FdkgR-96s4Om1uEA,Osteria Mbare,Italian Restaurant,4.4,920,"{'latitude': 51.4620861, 'longitude': -0.13713699999999998}","167 Clapham High St, London",https://maps.google.com/?cid=4663677430243581691&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '30'}, 'endPrice': {'currencyCode': 'GBP', 'units': '60'}}",,https://www.dishcult.com/restaurant/OSTERIAMBARE,OPERATIONAL,"['italian_restaurant', 'cocktail_bar', 'bar', 'grocery_store', 'restaurant', 'point_of_interest', 'food_store', 'food', 'store', 'establishment']",italian_restaurant
ChIJ--jShlIEdkgR0A_9FSWHgIE,Barsito,Tapas Restaurant,4.2,297,"{'latitude': 51.462794699999996, 'longitude': -0.1380111}","57 Venn St, London",https://maps.google.com/?cid=9331607021264113616&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '60'}}",PRICE_LEVEL_MODERATE,http://www.barsito57.com/,OPERATIONAL,"['tapas_restaurant', 'spanish_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",tapas_restaurant
ChIJ__9Tj00EdkgR8S62NseMNnk,Garage Brunch,Brunch Restaurant,2.7,3,"{'latitude': 51.4620356, 'longitude': -0.1370074}","165 Clapham High St, London",https://maps.google.com/?cid=8734323314575945457&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '60'}, 'endPrice': {'currencyCode': 'GBP', 'units': '70'}}",,,OPERATIONAL,"['brunch_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",brunch_restaurant
ChIJ__9Tj00EdkgRMFoAb-pIxN8,Bar & Bites,Bar & Grill,3.0,2,"{'latitude': 51.4620356, 'longitude': -0.1370074}","165 Clapham High St, London",https://maps.google.com/?cid=16124092737615059504&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,,,OPERATIONAL,"['bar_and_grill', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",bar_and_grill
