id,displayName,primaryTypeDisplayName,rating,userRatingCount,location,shortFormattedAddress,googleMapsUri,priceRange,priceLevel,websiteUri,businessStatus,types,primaryType
ChIJzQJpuMUFdkgRi0_f5sYYmPc,willows,Restaurant,4.7,647,"{'latitude': 51.463404499999996, 'longitude': -0.1411175}","11 The Polygon, London",https://maps.google.com/?cid=17841037166384205707&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",,http://willowsclapham.com/,OPERATIONAL,"['restaurant', 'wine_bar', 'brunch_restaurant', 'bar', 'point_of_interest', 'food', 'establishment']",restaurant
ChIJCdydQTwFdkgRLRWkVchU7NQ,Megan's Clapham Old Town Restaurant (Clapham),Mediterranean Restaurant,4.6,4270,"{'latitude': 51.4634095, 'longitude': -0.1407742}","55-57 The Pavement, London",https://maps.google.com/?cid=15342731249951446317&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",PRICE_LEVEL_MODERATE,https://megans.co.uk/locations/megans-clapham/,OPERATIONAL,"['mediterranean_restaurant', 'cafe', 'breakfast_restaurant', 'brunch_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",mediterranean_restaurant
ChIJ1d1uIEIFdkgRzZTYcVu4GTU,Shake Shack Clapham,Hamburger Restaurant,4.1,381,"{'latitude': 51.462281, 'longitude': -0.1376508}","188 Clapham High St, London",https://maps.google.com/?cid=3826292061319501005&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",PRICE_LEVEL_MODERATE,https://www.shakeshack.co.uk/locations/clapham/?utm_source=gmb&utm_medium=organic&utm_campaign=clapham,OPERATIONAL,"['hamburger_restaurant', 'fast_food_restaurant', 'hot_dog_restaurant', 'american_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",hamburger_restaurant
ChIJHdc2Rq0FdkgRNkQ9YeRS1ig,Trinity,Fine Dining Restaurant,4.8,1035,"{'latitude': 51.4634942, 'longitude': -0.1414242}","4 The Polygon, London",https://maps.google.com/?cid=2942630547370624054&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '100'}}",PRICE_LEVEL_VERY_EXPENSIVE,http://www.trinityrestaurant.co.uk/,OPERATIONAL,"['fine_dining_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",fine_dining_restaurant
ChIJE34OxkMFdkgRlWsdheGKvTs,Wingstop Clapham,Chicken Wings Restaurant,4.7,1082,"{'latitude': 51.462095299999994, 'longitude': -0.1372441}","169 Clapham High St, London",https://maps.google.com/?cid=4304749520041634709&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://www.wingstop.co.uk/?y_source=1_MTA0NTA2NDA0MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,OPERATIONAL,"['chicken_wings_restaurant', 'chicken_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",chicken_wings_restaurant
ChIJxQ_1h00EdkgRfr6dRI2qe4Q,McDonald's,Fast Food Restaurant,3.6,1800,"{'latitude': 51.462868799999995, 'longitude': -0.1354852}","130/134 Clapham High St, London",https://maps.google.com/?cid=9546411358860197502&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",PRICE_LEVEL_INEXPENSIVE,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8260379:Clicks:DIRSYN:,OPERATIONAL,"['fast_food_restaurant', 'hamburger_restaurant', 'diner', 'chicken_restaurant', 'breakfast_restaurant', 'american_restaurant', 'restaurant', 'point_of_interest', 'service', 'food', 'establishment']",fast_food_restaurant
ChIJgeDXLGAFdkgRefjTt6Jjemw,Common Pizza,Pizza Restaurant,4.7,512,"{'latitude': 51.460784499999995, 'longitude': -0.1432803}","10 Rookery Rd, London",https://maps.google.com/?cid=7816669653774891129&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://commonpizza.co.uk/,OPERATIONAL,"['pizza_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",pizza_restaurant
ChIJc83XyhIFdkgREt7-kN4nf4c,"BOBO & WILD - Clapham ""Coffee, Brunch & Bakery""",Brunch Restaurant,4.8,529,"{'latitude': 51.4610452, 'longitude': -0.1386268}","18 Clapham Common South Side, London",https://maps.google.com/?cid=9763566354031369746&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,http://www.boboandwild.co.uk/,OPERATIONAL,"['brunch_restaurant', 'coffee_shop', 'coffee_roastery', 'sandwich_shop', 'cocktail_bar', 'cafe', 'breakfast_restaurant', 'bar', 'bakery', 'restaurant', 'point_of_interest', 'food_store', 'food', 'store', 'establishment']",brunch_restaurant
ChIJaSqVVPcFdkgRCXBE5f7ihj8,Lina Stores Clapham - Italian Restaurant,Italian Restaurant,4.6,492,"{'latitude': 51.4621831, 'longitude': -0.1399016}","22 The Pavement, London",https://maps.google.com/?cid=4577595655664726025&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '60'}}",PRICE_LEVEL_MODERATE,https://www.linastores.co.uk/,OPERATIONAL,"['italian_restaurant', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",italian_restaurant
ChIJYeTdgFIEdkgRBVVfRUxO8qc,Berberè Pizzeria Clapham,Pizza Restaurant,4.5,612,"{'latitude': 51.4626327, 'longitude': -0.1379259}","67 Venn St, London",https://maps.google.com/?cid=12101821238186300677&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://www.berberepizzeria.co.uk/,OPERATIONAL,"['pizza_restaurant', 'pizza_delivery', 'meal_delivery', 'food_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",pizza_restaurant
ChIJ8bKMDxYFdkgR-cbluWZDN90,Soul Lounge,Restaurant,4.3,866,"{'latitude': 51.463628, 'longitude': -0.1334465}","76 Clapham High St, London",https://maps.google.com/?cid=15940283514585728761&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '40'}, 'endPrice': {'currencyCode': 'GBP', 'units': '50'}}",,https://www.soulloungeldn.com/,OPERATIONAL,"['restaurant', 'point_of_interest', 'food', 'establishment']",restaurant
ChIJxcdQV00EdkgRKQX2UVNnheE,Minnow,Restaurant,4.3,1122,"{'latitude': 51.462124499999994, 'longitude': -0.13988599999999998}","The Pavement Cafe, 21 The Pavement, London",https://maps.google.com/?cid=16250508437991327017&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",PRICE_LEVEL_MODERATE,http://minnowclapham.co.uk/,OPERATIONAL,"['cafe', 'breakfast_restaurant', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",restaurant
ChIJ_8jBIVIEdkgRVpCMg_y7ISI,Sorella,Italian Restaurant,4.4,694,"{'latitude': 51.4638061, 'longitude': -0.13506790000000002}","Anglo Spanish Nursery School Ltd, 148 Clapham Manor St, London",https://maps.google.com/?cid=2459453564734181462&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '30'}, 'endPrice': {'currencyCode': 'GBP', 'units': '80'}}",PRICE_LEVEL_EXPENSIVE,https://www.sorellarestaurant.co.uk/,OPERATIONAL,"['italian_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",italian_restaurant
ChIJXwOyeXIFdkgRErRzmZrUBJE,Popeyes Louisiana Chicken,Chicken Restaurant,4.9,2650,"{'latitude': 51.4626617, 'longitude': -0.1361444}","152 Clapham High St, London",https://maps.google.com/?cid=10449710795870942226&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://popeyesuk.com/restaurants/clapham,OPERATIONAL,"['chicken_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",chicken_restaurant
