local_tile,local_tiles,density,local_density
89194ac3497ffff,"{'89194ad1a2bffff', '89194ac3487ffff', '89194ad1b43ffff', '89194ad1a2fffff', '89194ad1b4bffff', '89194ad1b53ffff', '89194ac348fffff', '89194ac3483ffff', '89194ac3493ffff', '89194ad1a27ffff', '89194ac348bffff', '89194ad1a67ffff', '89194ac34b3ffff', '89194ac349bffff', '89194ac3497ffff', '89194ad1b5bffff', '89194ac34bbffff', '89194ad1b4fffff', '89194ad1a23ffff'}",1.0,4.0
89194ad000fffff,"{'89194ad0067ffff', '89194ad0023ffff', '89194ad003bffff', '89194ad00abffff', '89194ad0033ffff', '89194ad0017ffff', '89194ad0077ffff', '89194ad0003ffff', '89194ad002bffff', '89194ad0007ffff', '89194ad000fffff', '89194ad001bffff', '89194ad0047ffff', '89194ad0073ffff', '89194ad007bffff', '89194ad000bffff', '89194ad0013ffff', '89194ad0057ffff', '89194ad0063ffff'}",2.0,7.0
89194ad0023ffff,"{'89194ad0067ffff', '89194ad015bffff', '89194ad0037ffff', '89194ad0393ffff', '89194ad0023ffff', '89194ad003bffff', '89194ad01cbffff', '89194ad0027ffff', '89194ad00abffff', '89194ad0033ffff', '89194ad0153ffff', '89194ad0077ffff', '89194ad002bffff', '89194ad00afffff', '89194ad0397ffff', '89194ad002fffff', '89194ad0007ffff', '89194ad000fffff', '89194ad01dbffff'}",5.0,28.0
89194ad0027ffff,"{'89194ad0143ffff', '89194ad015bffff', '89194ad0037ffff', '89194ad0023ffff', '89194ad0393ffff', '89194ad01cbffff', '89194ad003bffff', '89194ad014bffff', '89194ad0027ffff', '89194ad0157ffff', '89194ad0033ffff', '89194ad0153ffff', '89194ad002bffff', '89194ad01c3ffff', '89194ad00afffff', '89194ad0397ffff', '89194ad002fffff', '89194ad01cfffff', '89194ad01dbffff'}",7.0,36.0
89194ad006bffff,"{'89194ad039bffff', '89194ad0067ffff', '89194ad0077ffff', '89194ad02b7ffff', '89194ad02a7ffff', '89194ad03d7ffff', '89194ad006bffff', '89194ad02a3ffff', '89194ad03dbffff', '89194ad03d3ffff', '89194ad004fffff', '89194ad006fffff', '89194ad02afffff', '89194ad03c3ffff', '89194ad0047ffff', '89194ad0073ffff', '89194ad007bffff', '89194ad02b3ffff', '89194ad0063ffff'}",5.0,5.0
89194ad0083ffff,"{'89194ad00c7ffff', '89194ad0467ffff', '89194ad008fffff', '89194ad054bffff', '89194ad0017ffff', '89194ad00d7ffff', '89194ad046fffff', '89194ad042fffff', '89194ad0093ffff', '89194ad055bffff', '89194ad00b3ffff', '89194ad042bffff', '89194ad0087ffff', '89194ad008bffff', '89194ad0097ffff', '89194ad0083ffff', '89194ad0013ffff', '89194ad009bffff', '89194ad00bbffff'}",2.0,30.0
89194ad0087ffff,"{'89194ad00a3ffff', '89194ad00b7ffff', '89194ad00abffff', '89194ad008fffff', '89194ad054bffff', '89194ad0017ffff', '89194ad042fffff', '89194ad0093ffff', '89194ad0543ffff', '89194ad055bffff', '89194ad00b3ffff', '89194ad0087ffff', '89194ad008bffff', '89194ad0097ffff', '89194ad0083ffff', '89194ad054fffff', '89194ad0013ffff', '89194ad009bffff', '89194ad00bbffff'}",1.0,30.0
89194ad008fffff,"{'89194ad00a3ffff', '89194ad00c7ffff', '89194ad00abffff', '89194ad008fffff', '89194ad054bffff', '89194ad0017ffff', '89194ad0003ffff', '89194ad00d7ffff', '89194ad0007ffff', '89194ad0093ffff', '89194ad00b3ffff', '89194ad001bffff', '89194ad0087ffff', '89194ad008bffff', '89194ad0097ffff', '89194ad0083ffff', '89194ad0013ffff', '89194ad009bffff', '89194ad00bbffff'}",1.0,28.0
89194ad0097ffff,"{'89194ad0467ffff', '89194ad008fffff', '89194ad054bffff', '89194ad0423ffff', '89194ad0553ffff', '89194ad042fffff', '89194ad0093ffff', '89194ad0543ffff', '89194ad055bffff', '89194ad042bffff', '89194ad00b3ffff', '89194ad0427ffff', '89194ad0087ffff', '89194ad008bffff', '89194ad0083ffff', '89194ad0097ffff', '89194ad054fffff', '89194ad009bffff', '89194ad00bbffff'}",13.0,28.0
89194ad00a3ffff,"{'89194ad00a3ffff', '89194ad0037ffff', '89194ad057bffff', '89194ad00b7ffff', '89194ad00abffff', '89194ad008fffff', '89194ad054bffff', '89194ad0033ffff', '89194ad0017ffff', '89194ad056bffff', '89194ad00afffff', '89194ad0007ffff', '89194ad01dbffff', '89194ad00b3ffff', '89194ad00a7ffff', '89194ad0087ffff', '89194ad01d3ffff', '89194ad054fffff', '89194ad00bbffff'}",4.0,22.0
