cuisineType,venueType,n_type,p_local,p_credible,p_global,competition_factor,local_tile,neighbour_count,representations
Chinese,Takeaway,1,0.25,0.030062388461679565,0.015063125816282106,1.0,89194ac3497ffff,4,1
Fast Food,Takeaway,1,0.25,0.030062388461679565,0.01610796691336526,1.0,89194ac3497ffff,4,1
South Asian,Dine-In,1,0.25,0.030062388461679565,0.05711797997387897,1.0,89194ac3497ffff,4,1
South Asian,Takeaway,1,0.25,0.030062388461679565,0.007575097953852851,1.0,89194ac3497ffff,4,1
Chinese,Takeaway,1,0.125,0.014848322705875239,0.015063125816282106,1.0,89194ad000fffff,8,1
Fast Food,Dine-In,1,0.125,0.014848322705875239,0.07009142359599478,1.0,89194ad000fffff,8,1
Latin American,Dine-In,1,0.125,0.014848322705875239,0.05729212015672616,1.0,89194ad000fffff,8,1
Pizza,Dine-In,1,0.125,0.014848322705875239,0.04736612973443622,1.0,89194ad000fffff,8,1
Seafood,Takeaway,1,0.125,0.014848322705875239,0.007662168045276448,1.0,89194ad000fffff,8,1
Southeast Asian,Dine-In,1,0.125,0.014848322705875239,0.047888550282977796,1.0,89194ad000fffff,8,1
Steakhouse & BBQ,Dine-In,1,0.125,0.014848322705875239,0.0282107096212451,1.0,89194ad000fffff,8,1
Vegetarian & Vegan,Dine-In,1,0.125,0.014848322705875239,0.02734000870700914,1.0,89194ad000fffff,8,1
American,Dine-In,1,0.047619047619047616,0.005615056734982781,0.012973443622115803,1.0,89194ad0017ffff,21,1
Brunch & Breakfast,Dine-In,1,0.047619047619047616,0.005615056734982781,0.02585981715280801,1.0,89194ad0017ffff,21,1
Chinese,Dine-In,1,0.047619047619047616,0.005615056734982781,0.049455811928602524,1.0,89194ad0017ffff,21,1
Chinese,Takeaway,2,0.09523809523809523,0.01883034550204026,0.015063125816282106,1.0,89194ad0017ffff,21,2
Fast Food,Dine-In,3,0.14285714285714285,0.03689437952445512,0.07009142359599478,1.0,89194ad0017ffff,21,3
Fast Food,Takeaway,1,0.047619047619047616,0.005615056734982781,0.01610796691336526,1.0,89194ad0017ffff,21,1
Halal,Takeaway,1,0.047619047619047616,0.005615056734982781,0.002089682194166304,1.0,89194ad0017ffff,21,1
Latin American,Dine-In,2,0.09523809523809523,0.01883034550204026,0.05729212015672616,1.0,89194ad0017ffff,21,2
Middle Eastern,Dine-In,2,0.09523809523809523,0.01883034550204026,0.06408358728776666,1.0,89194ad0017ffff,21,2
Seafood,Takeaway,1,0.047619047619047616,0.005615056734982781,0.007662168045276448,1.0,89194ad0017ffff,21,1
South Asian,Dine-In,1,0.047619047619047616,0.005615056734982781,0.05711797997387897,1.0,89194ad0017ffff,21,1
South Asian,Takeaway,1,0.047619047619047616,0.005615056734982781,0.007575097953852851,1.0,89194ad0017ffff,21,1
Southeast Asian,Dine-In,3,0.14285714285714285,0.03689437952445512,0.047888550282977796,1.0,89194ad0017ffff,21,3
Steakhouse & BBQ,Dine-In,1,0.047619047619047616,0.005615056734982781,0.0282107096212451,1.0,89194ad0017ffff,21,1
American,Dine-In,1,0.041666666666666664,0.004910429141281838,0.012973443622115803,1.0,89194ad0023ffff,24,1
Chinese,Takeaway,3,0.125,0.03218991017648588,0.015063125816282106,1.0,89194ad0023ffff,24,3
Fast Food,Dine-In,2,0.08333333333333333,0.016449820213683217,0.07009142359599478,1.0,89194ad0023ffff,24,2
Fast Food,Takeaway,2,0.08333333333333333,0.016449820213683217,0.01610796691336526,1.0,89194ad0023ffff,24,2
Halal,Takeaway,1,0.041666666666666664,0.004910429141281838,0.002089682194166304,1.0,89194ad0023ffff,24,1
Italian,Dine-In,2,0.08333333333333333,0.016449820213683217,0.06060078363082281,1.0,89194ad0023ffff,24,2
Kebab Shop,Dine-In,1,0.041666666666666664,0.004910429141281838,0.01828471919895516,1.0,89194ad0023ffff,24,1
Latin American,Dine-In,3,0.125,0.03218991017648588,0.05729212015672616,1.0,89194ad0023ffff,24,3
Pizza,Dine-In,1,0.041666666666666664,0.004910429141281838,0.04736612973443622,1.0,89194ad0023ffff,24,1
Seafood,Takeaway,1,0.041666666666666664,0.004910429141281838,0.007662168045276448,1.0,89194ad0023ffff,24,1
South Asian,Dine-In,1,0.041666666666666664,0.004910429141281838,0.05711797997387897,1.0,89194ad0023ffff,24,1
South Asian,Takeaway,3,0.125,0.03218991017648588,0.007575097953852851,1.0,89194ad0023ffff,24,3
Southeast Asian,Dine-In,1,0.041666666666666664,0.004910429141281838,0.047888550282977796,1.0,89194ad0023ffff,24,1
Steakhouse & BBQ,Dine-In,1,0.041666666666666664,0.004910429141281838,0.0282107096212451,1.0,89194ad0023ffff,24,1
Vegetarian & Vegan,Dine-In,1,0.041666666666666664,0.004910429141281838,0.02734000870700914,1.0,89194ad0023ffff,24,1
American,Dine-In,1,0.03333333333333333,0.003925276654474422,0.012973443622115803,1.0,89194ad0027ffff,30,1
Bar & Pub,Dine-In,1,0.03333333333333333,0.003925276654474422,0.030648672181105792,1.0,89194ad0027ffff,30,1
Chinese,Takeaway,4,0.13333333333333333,0.04055796570891193,0.015063125816282106,2.6925331570338353,89194ad0027ffff,30,4
Fast Food,Dine-In,3,0.1,0.025649613897367564,0.07009142359599478,1.0,89194ad0027ffff,30,3
Fast Food,Takeaway,3,0.1,0.025649613897367564,0.01610796691336526,1.0,89194ad0027ffff,30,3
Halal,Takeaway,1,0.03333333333333333,0.003925276654474422,0.002089682194166304,1.0,89194ad0027ffff,30,1
Italian,Dine-In,2,0.06666666666666667,0.013130153887606315,0.06060078363082281,1.0,89194ad0027ffff,30,2
Japanese,Takeaway,1,0.03333333333333333,0.003925276654474422,0.008619939050936004,1.0,89194ad0027ffff,30,1
Kebab Shop,Dine-In,1,0.03333333333333333,0.003925276654474422,0.01828471919895516,1.0,89194ad0027ffff,30,1
Korean,Dine-In,1,0.03333333333333333,0.003925276654474422,0.015150195907705702,1.0,89194ad0027ffff,30,1
Latin American,Dine-In,3,0.1,0.025649613897367564,0.05729212015672616,1.0,89194ad0027ffff,30,3
Pizza,Dine-In,3,0.1,0.025649613897367564,0.04736612973443622,1.0,89194ad0027ffff,30,3
Seafood,Takeaway,1,0.03333333333333333,0.003925276654474422,0.007662168045276448,1.0,89194ad0027ffff,30,1
South Asian,Dine-In,1,0.03333333333333333,0.003925276654474422,0.05711797997387897,1.0,89194ad0027ffff,30,1
South Asian,Takeaway,3,0.1,0.025649613897367564,0.007575097953852851,1.0,89194ad0027ffff,30,3
Vegetarian & Vegan,Dine-In,1,0.03333333333333333,0.003925276654474422,0.02734000870700914,1.0,89194ad0027ffff,30,1
African,Dine-In,3,0.0967741935483871,0.02480955024165823,0.017065737919024816,1.0,89194ad0053ffff,31,3
Bistro,Dine-In,1,0.03225806451612903,0.003798272573871862,0.005572485851110144,1.0,89194ad0053ffff,31,1
Chinese,Dine-In,2,0.06451612903225806,0.012702910950125962,0.049455811928602524,1.0,89194ad0053ffff,31,2
Chinese,Takeaway,2,0.06451612903225806,0.012702910950125962,0.015063125816282106,1.0,89194ad0053ffff,31,2
Fast Food,Dine-In,1,0.03225806451612903,0.003798272573871862,0.07009142359599478,1.0,89194ad0053ffff,31,1
Fast Food,Takeaway,2,0.06451612903225806,0.012702910950125962,0.01610796691336526,1.0,89194ad0053ffff,31,2
Kebab Shop,Dine-In,1,0.03225806451612903,0.003798272573871862,0.01828471919895516,1.0,89194ad0053ffff,31,1
Latin American,Dine-In,3,0.0967741935483871,0.02480955024165823,0.05729212015672616,1.0,89194ad0053ffff,31,3
Mediterranean,Dine-In,1,0.03225806451612903,0.003798272573871862,0.026121027427078797,1.0,89194ad0053ffff,31,1
Middle Eastern,Dine-In,1,0.03225806451612903,0.003798272573871862,0.06408358728776666,1.0,89194ad0053ffff,31,1
Pizza,Dine-In,5,0.16129032258064516,0.055427264243046497,0.04736612973443622,1.1701877386606416,89194ad0053ffff,31,5
Pizza,Takeaway,1,0.03225806451612903,0.003798272573871862,0.011580322159338267,1.0,89194ad0053ffff,31,1
Sandwich & Deli,Dine-In,1,0.03225806451612903,0.003798272573871862,0.04292555507183283,1.0,89194ad0053ffff,31,1
Seafood,Dine-In,3,0.0967741935483871,0.02480955024165823,0.018197649107531563,1.0,89194ad0053ffff,31,3
Seafood,Takeaway,1,0.03225806451612903,0.003798272573871862,0.007662168045276448,1.0,89194ad0053ffff,31,1
Southeast Asian,Dine-In,1,0.03225806451612903,0.003798272573871862,0.047888550282977796,1.0,89194ad0053ffff,31,1
Vegetarian & Vegan,Dine-In,2,0.06451612903225806,0.012702910950125962,0.02734000870700914,1.0,89194ad0053ffff,31,2
Burgers,Dine-In,1,0.2,0.023931119970818465,0.03125816282107096,1.0,89194ad006bffff,5,1
Kebab Shop,Dine-In,1,0.2,0.023931119970818465,0.01828471919895516,1.0,89194ad006bffff,5,1
Seafood,Dine-In,1,0.2,0.023931119970818465,0.018197649107531563,1.0,89194ad006bffff,5,1
South Asian,Dine-In,2,0.4,0.08270020332855739,0.05711797997387897,1.0,89194ad006bffff,5,2
Bar & Pub,Dine-In,2,0.08,0.015784672380987946,0.030648672181105792,1.0,89194ad0083ffff,25,2
Brunch & Breakfast,Dine-In,1,0.04,0.004713275049268921,0.02585981715280801,1.0,89194ad0083ffff,25,1
Chinese,Dine-In,2,0.08,0.015784672380987946,0.049455811928602524,1.0,89194ad0083ffff,25,2
Chinese,Takeaway,2,0.08,0.015784672380987946,0.015063125816282106,1.0,89194ad0083ffff,25,2
Fast Food,Dine-In,1,0.04,0.004713275049268921,0.07009142359599478,1.0,89194ad0083ffff,25,1
