osm_type,osm_id,place_id,name,amenity,lat,lon,distance_m,tags
node,1314925506,osm:node:1314925506,Mate's,restaurant,51.4538895,-0.146152,79.91,"{'addr:city': 'London', 'addr:housenumber': '3', 'addr:postcode': 'SW4 9DW', 'addr:street': 'Clapham Common South Side', 'amenity': 'restaurant', 'check_date': '2025-10-19', 'cuisine': 'european', 'name': ""Mate's"", 'website': 'www.matesbooking.com'}"
node,1314925467,osm:node:1314925467,Pizzeria on the Green,restaurant,51.4538084,-0.146251,87.53,"{'addr:city': 'London', 'addr:housename': 'Cavendish Parade', 'addr:housenumber': '4', 'addr:postcode': 'SW4 9DW', 'addr:street': 'Clapham Common South Side', 'amenity': 'restaurant', 'cuisine': 'pizza', 'fhrs:id': '483925', 'name': 'Pizzeria on the Green', 'source:addr': 'FHRS Open Data', 'wheelchair': 'yes'}"
node,8441068859,osm:node:8441068859,The Urban Greek,restaurant,51.4517982,-0.1474691,291.05,"{'amenity': 'restaurant', 'cuisine': 'greek', 'delivery': 'yes', 'name': 'The Urban Greek', 'takeaway': 'yes'}"
node,7787037160,osm:node:7787037160,No 3 at Nightingale Place,restaurant,51.452666,-0.1487287,293.38,"{'amenity': 'restaurant', 'name': 'No 3 at Nightingale Place', 'website': 'https://www.no3clapham.co.uk'}"
node,9502837317,osm:node:9502837317,Osteria,restaurant,51.4539509,-0.1405495,308.37,"{'amenity': 'restaurant', 'name': 'Osteria', 'name:en': 'Osteria Toscana'}"
node,2641978068,osm:node:2641978068,La Bonne Heure,restaurant,51.453934,-0.1405172,310.59,"{'addr:city': 'London', 'addr:housenumber': '31', 'addr:postcode': 'SW4 9LA', 'addr:street': 'Abbeville Road', 'amenity': 'restaurant', 'cuisine': 'french', 'fhrs:authority': 'Lambeth', 'fhrs:id': '508069', 'fhrs:inspectiondate': '2013-01-26', 'fhrs:rating': '5', 'name': 'La Bonne Heure'}"
node,9524662017,osm:node:9524662017,33 Abbeville Road,restaurant,51.4539786,-0.1404775,313.41,"{'amenity': 'restaurant', 'name': '33 Abbeville Road'}"
node,2121664891,osm:node:2121664891,Brooke,restaurant,51.4540141,-0.1404398,316.13,"{'addr:city': 'London', 'addr:housenumber': '33-35', 'addr:postcode': 'SW4 9LA', 'addr:street': 'Abbeville Road', 'amenity': 'restaurant', 'check_date': '2025-10-19', 'cuisine': 'international;bistro', 'fhrs:authority': 'Lambeth', 'fhrs:id': '482918', 'fhrs:inspectiondate': '2013-02-13', 'fhrs:rating': '4', 'name': 'Brooke', 'outdoor_seating': 'yes', 'payment:american_express': 'yes', 'payment:cash': 'yes', 'payment:credit_cards': 'yes', 'payment:debit_cards': 'yes', 'toilets': 'yes', 'toilets:wheelchair': 'no'}"
node,2848406764,osm:node:2848406764,PizzaExpress,restaurant,51.4542874,-0.1401884,335.92,"{'addr:city': 'London', 'addr:housenumber': '43-45', 'addr:postcode': 'SW4 9JX', 'addr:street': 'Abbeville Road', 'amenity': 'restaurant', 'brand': 'PizzaExpress', 'brand:wikidata': 'Q662845', 'brand:wikipedia': 'en:PizzaExpress', 'cuisine': 'pizza', 'fhrs:authority': 'Lambeth', 'fhrs:id': '482920', 'fhrs:inspectiondate': '2007-09-19', 'fhrs:rating': '5', 'name': 'PizzaExpress', 'website': 'https://www.pizzaexpress.com/clapham-abbeville-road'}"
node,9655728953,osm:node:9655728953,Camile Thai,restaurant,51.4544549,-0.1399721,353.48,"{'addr:housenumber': 'Camile Thai', 'addr:street': 'Abbeville Road', 'amenity': 'restaurant', 'name': 'Camile Thai'}"
node,2848407447,osm:node:2848407447,Bistro Union,restaurant,51.4543628,-0.1396863,371.5,"{'amenity': 'restaurant', 'cuisine': 'international', 'name': 'Bistro Union'}"
node,1788955594,osm:node:1788955594,The Avalon,restaurant,51.4506637,-0.1480184,417.73,"{'addr:city': 'London', 'addr:housenumber': '16', 'addr:postcode': 'SW12 9EB', 'addr:street': 'Balham Hill', 'amenity': 'restaurant', 'cuisine': 'international', 'fhrs:id': '1572759', 'name': 'The Avalon', 'old_name': 'The George', 'outdoor_seating': 'yes', 'source:addr': 'FHRS Open Data', 'wheelchair': 'no'}"
