local_tile,local_tiles,density,local_density
891946cb60bffff,"{'891946cb657ffff', '891946cb663ffff', '891946cb60bffff', '891946cb647ffff', '891946cb613ffff', '891946cb643ffff', '891946cb673ffff', '891946cb6c7ffff', '891946cb64fffff', '891946cb677ffff', '891946cb653ffff', '891946cb607ffff', '891946cb63bffff', '891946cb61bffff', '891946cb67bffff', '891946cb6cfffff', '891946cb617ffff', '891946cb60fffff', '891946cb603ffff'}",1.0,3.0
891946cb647ffff,"{'891946cb657ffff', '891946cb66bffff', '891946cb663ffff', '891946cb64bffff', '891946cb60bffff', '891946cb643ffff', '891946cb647ffff', '89197334db3ffff', '891946cb673ffff', '891946cb64fffff', '891946cb677ffff', '891946cb653ffff', '891946cb65bffff', '89197334db7ffff', '891946cb61bffff', '891946cb67bffff', '891946cb6cfffff', '891946cb60fffff', '891946cb603ffff'}",1.0,3.0
891946cb67bffff,"{'891946cb2d3ffff', '891946cb66bffff', '891946cb657ffff', '891946cb663ffff', '891946cb64bffff', '89197334da7ffff', '891946cb60bffff', '891946cb643ffff', '891946cb647ffff', '89197334db3ffff', '891946cb673ffff', '891946cb64fffff', '891946cb677ffff', '891946cb66fffff', '89197334db7ffff', '891946cb67bffff', '89197334da3ffff', '891946cb60fffff', '891946cb667ffff'}",1.0,3.0
891946cb687ffff,"{'891946cb6bbffff', '891946cb6abffff', '891946cb697ffff', '891946cb68fffff', '891946cb687ffff', '891946cb6a3ffff', '891946cb69bffff', '891946cb44fffff', '891946cb45bffff', '891946cb683ffff', '891946cb613ffff', '891946cb6b7ffff', '891946cb68bffff', '891946cb443ffff', '891946cb617ffff', '891946cb693ffff', '8919733692fffff', '891946cb44bffff', '891946cb6b3ffff'}",2.0,6.0
891946cb697ffff,"{'891946cb6bbffff', '891946cb697ffff', '891946cb687ffff', '891946cb68fffff', '891946cb453ffff', '8919733692bffff', '891946cb69bffff', '891946cb44fffff', '891946cb45bffff', '891946cb683ffff', '89197336923ffff', '89197336927ffff', '891946cb68bffff', '891946cb443ffff', '891946cb693ffff', '8919733692fffff', '89197336967ffff', '891946cb44bffff', '891946cb6b3ffff'}",2.0,6.0
891946cb6bbffff,"{'891946cb6bbffff', '891946cb6afffff', '891946cb6abffff', '891946cb697ffff', '891946cb68fffff', '891946cb687ffff', '891946cb6a3ffff', '891946cb44fffff', '891946cb683ffff', '891946cb613ffff', '891946cb6a7ffff', '891946cb607ffff', '891946cb633ffff', '891946cb68bffff', '891946cb617ffff', '891946cb44bffff', '891946cb603ffff', '891946cb6b7ffff', '891946cb6b3ffff'}",1.0,5.0
89197320027ffff,"{'89197320157ffff', '89197320153ffff', '8919732014bffff', '89197320143ffff', '891973201dbffff', '8919732003bffff', '89197320397ffff', '891973200afffff', '89197320033ffff', '8919732015bffff', '891973201cbffff', '89197320023ffff', '89197320037ffff', '8919732002fffff', '891973201cfffff', '8919732002bffff', '89197320027ffff', '891973201c3ffff', '89197320393ffff'}",1.0,8.0
8919732004bffff,"{'8919732007bffff', '89197320293ffff', '89197320287ffff', '89197320047ffff', '89197320297ffff', '8919732004fffff', '891973202b7ffff', '891973202b3ffff', '89197320283ffff', '8919732028fffff', '891973202bbffff', '8919732062fffff', '89197320627ffff', '891973202a3ffff', '89197320053ffff', '8919732004bffff', '89197320043ffff', '8919732005bffff', '89197320057ffff'}",1.0,11.0
8919732005bffff,"{'89197320637ffff', '89197320293ffff', '89197320287ffff', '89197320047ffff', '89197320297ffff', '891973200cbffff', '891973200cfffff', '8919732062bffff', '8919732004fffff', '89197320283ffff', '891973202b3ffff', '8919732062fffff', '89197320627ffff', '89197320053ffff', '8919732004bffff', '89197320043ffff', '89197320623ffff', '8919732005bffff', '89197320057ffff'}",1.0,7.0
8919732007bffff,"{'8919732000fffff', '89197320063ffff', '89197320067ffff', '8919732007bffff', '89197320047ffff', '891973202a7ffff', '8919732004fffff', '891973202b7ffff', '891973202b3ffff', '8919732006fffff', '89197320077ffff', '891973202a3ffff', '89197320073ffff', '8919732004bffff', '8919732000bffff', '89197320043ffff', '891973203d3ffff', '89197320057ffff', '8919732006bffff'}",4.0,7.0
