tile_id,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,result_count,seed_index,current
89194ad1003ffff,137-0,9,1,51.47301917,-0.133406888,200.821,"POLYGON ((-0.1338405619538631 51.47476677015881, -0.1359308282982225 51.47378571945789, -0.135497090588306 51.472038094079494, -0.1329732430972968 51.47127153994986, -0.1308830710247006 51.472252570065365, -0.1313166521717194 51.47400017489449, -0.1338405619538631 51.47476677015881))",0,True,True,5,,
89194ad1007ffff,137-1,9,1,51.47050494,-0.130449518,200.821,"POLYGON ((-0.1308830710247006 51.472252570065365, -0.1329732430972968 51.47127153994986, -0.1325396258451456 51.46952389157992, -0.1300159930664682 51.468757293881126, -0.1279259152688419 51.46973830341643, -0.1283593759753133 51.471485931229296, -0.1308830710247006 51.472252570065365))",0,True,True,0,,
89194ad100bffff,137-2,9,1,51.47280461,-0.13802106,200.821,"POLYGON ((-0.1384548905205833 51.474552230000526, -0.1405451527194235 51.47357107403001, -0.1401112584423823 51.471823428111136, -0.1375872585339878 51.47105695870183, -0.135497090588306 51.472038094079494, -0.1359308282982225 51.47378571945789, -0.1384548905205833 51.474552230000526))",0,True,True,3,,
89194ad100fffff,137-3,9,1,51.47029045,-0.135063381,200.821,"POLYGON ((-0.135497090588306 51.472038094079494, -0.1375872585339878 51.47105695870183, -0.1371534847319325 51.469309289783624, -0.134629699534483 51.46854277678993, -0.1325396258451456 51.46952389157992, -0.1329732430972968 51.47127153994986, -0.135497090588306 51.472038094079494))",0,True,True,2,,
89194ad1013ffff,137-4,9,1,51.47574776,-0.131750261,200.821,"POLYGON ((-0.1321838988150199 51.477495318011115, -0.1342742635636488 51.47651435199154, -0.1338405619538631 51.47476677015881, -0.1313166521717194 51.47400017489449, -0.1292263817102798 51.47498112033091, -0.1296599267441746 51.47672868161338, -0.1321838988150199 51.477495318011115))",0,True,True,17,,
89194ad1017ffff,137-5,9,1,51.47323354,-0.128792865,200.821,"POLYGON ((-0.1292263817102798 51.47498112033091, -0.1313166521717194 51.47400017489449, -0.1308830710247006 51.472252570065365, -0.1283593759753133 51.471485931229296, -0.1262691998042631 51.472466856087756, -0.1267026243925968 51.47421444035883, -0.1292263817102798 51.47498112033091))",0,True,True,0,,
89194ad101bffff,137-6,9,1,51.47553332,-0.136364594,200.821,"POLYGON ((-0.1367983880975575 51.47728090366629, -0.1388887487105007 51.476299832374764, -0.1384548905205833 51.474552230000526, -0.1359308282982225 51.47378571945789, -0.1338405619538631 51.47476677015881, -0.1342742635636488 51.47651435199154, -0.1367983880975575 51.47728090366629))",0,True,True,2,,
89194ad1043ffff,157-0,9,1,51.47510388,-0.145593704,200.821,"POLYGON ((-0.1460278115192914 51.47685150493121, -0.1481181637754537 51.475870223080584, -0.1476839924126514 51.47412257964972, -0.1451596253826111 51.47335623859198, -0.1430693673577583 51.47433749983714, -0.1435033821320216 51.47608512274408, -0.1460278115192914 51.47685150493121))",0,True,True,7,,
89194ad1047ffff,157-1,9,1,51.47258985,-0.142635381,200.821,"POLYGON ((-0.1430693673577583 51.47433749983714, -0.1451596253826111 51.47335623859198, -0.1447255745342292 51.47160857214142, -0.142201422232711 51.47084218746626, -0.1401112584423823 51.471823428111136, -0.1405451527194235 51.47357107403001, -0.1430693673577583 51.47433749983714))",0,True,True,0,,
89194ad104bffff,157-2,9,1,51.47488888,-0.150208482,200.821,"POLYGON ((-0.150642745553012 51.476636520503085, -0.1527330935880767 51.475655133365294, -0.1522987656325332 51.47390746941933, -0.1497742462350549 51.47314121312483, -0.1476839924126514 51.47412257964972, -0.1481181637754537 51.475870223080584, -0.150642745553012 51.476636520503085))",0,True,True,13,,
89194ad104fffff,157-3,9,1,51.47237491,-0.147249849,200.821,"POLYGON ((-0.1476839924126514 51.47412257964972, -0.1497742462350549 51.47314121312483, -0.1493400388111529 51.47139352615137, -0.1468157341407417 51.470627226224266, -0.1447255745342292 51.47160857214142, -0.1451596253826111 51.47335623859198, -0.1476839924126514 51.47412257964972))",0,True,True,0,,
89194ad1053ffff,157-4,9,1,51.47783272,-0.143937425,200.821,"POLYGON ((-0.1443714961174353 51.479580301985344, -0.1464619468129598 51.47859910481359, -0.1460278115192914 51.47685150493121, -0.1435033821320216 51.47608512274408, -0.1414130256832327 51.477066299312646, -0.1418470043753436 51.47881387867009, -0.1443714961174353 51.479580301985344))",0,True,True,5,,
89194ad105bffff,157-6,9,1,51.47761784,-0.148552363,200.821,"POLYGON ((-0.1489865909681797 51.4793654433629, -0.1510770374524541 51.47838414090162, -0.150642745553012 51.476636520503085, -0.1481181637754537 51.475870223080584, -0.1460278115192914 51.47685150493121, -0.1464619468129598 51.47859910481359, -0.1489865909681797 51.4793654433629))",0,True,True,12,,
89194ad1063ffff,183-0,9,1,51.46734679,-0.14133359,200.821,"POLYGON ((-0.1417674918765585 51.4690944980086, -0.1438575572639792 51.468113172693975, -0.1434235908367069 51.466365439703395, -0.1408997155635102 51.465599052564485, -0.1388097443983942 51.46658035728173, -0.1392435542845512 51.46832806973386, -0.1417674918765585 51.4690944980086))",0,True,True,10,,
89194ad1067ffff,183-1,9,1,51.46483262,-0.138375963,200.821,"POLYGON ((-0.1388097443983942 51.46658035728173, -0.1408997155635102 51.465599052564485, -0.1404658696012575 51.463851296584274, -0.1379422089981616 51.463084865866165, -0.135852332058555 51.46406614999123, -0.1362860214968963 51.46581388542519, -0.1388097443983942 51.46658035728173))",0,True,True,1,,
89194ad106bffff,183-2,9,1,51.46713178,-0.145947588,200.821,"POLYGON ((-0.1463816472262743 51.4688795162359, -0.1484717084200649 51.46789808565135, -0.1480375854474834 51.466150332131114, -0.14551355782681 51.46538402972365, -0.1434235908367069 51.466365439703395, -0.1438575572639792 51.468113172693975, -0.1463816472262743 51.4688795162359))",0,True,True,4,,
89194ad106fffff,183-3,9,1,51.46461768,-0.142989653,200.821,"POLYGON ((-0.1434235908367069 51.466365439703395, -0.14551355782681 51.46538402972365, -0.1450795553364598 51.46363625320604, -0.1425557423844994 51.46286990720415, -0.1404658696012575 51.463851296584274, -0.1408997155635102 51.465599052564485, -0.1434235908367069 51.466365439703395))",0,True,True,12,,
89194ad1073ffff,183-4,9,1,51.47007576,-0.139677392,200.821,"POLYGON ((-0.1401112584423823 51.471823428111136, -0.142201422232711 51.47084218746626, -0.1417674918765585 51.4690944980086, -0.1392435542845512 51.46832806973386, -0.1371534847319325 51.469309289783624, -0.1375872585339878 51.47105695870183, -0.1401112584423823 51.471823428111136))",0,True,True,8,,
89194ad1077ffff,183-5,9,1,51.4675616,-0.136719739,200.821,"POLYGON ((-0.1371534847319325 51.469309289783624, -0.1392435542845512 51.46832806973386, -0.1388097443983942 51.46658035728173, -0.1362860214968963 51.46581388542519, -0.1341960461852211 51.46679508488505, -0.134629699534483 51.46854277678993, -0.1371534847319325 51.469309289783624))",0,True,True,0,,
89194ad107bffff,183-6,9,1,51.46986088,-0.144291552,200.821,"POLYGON ((-0.1447255745342292 51.47160857214142, -0.1468157341407417 51.470627226224266, -0.1463816472262743 51.4688795162359, -0.1438575572639792 51.468113172693975, -0.1417674918765585 51.4690944980086, -0.142201422232711 51.47084218746626, -0.1447255745342292 51.47160857214142))",0,True,True,0,,
8a194ad10557fff,157-5-2,10,2,51.47561649,-0.142720139,75.864,"POLYGON ((-0.1425455193688828 51.476255976992064, -0.1435033821320216 51.47608512274408, -0.1436779919754405 51.475445630055745, -0.1428947550047114 51.47497699706915, -0.1419369139899898 51.475147852150634, -0.1417622881979265 51.47578733938515, -0.1425455193688828 51.476255976992064))",0,True,True,1,,
8a194ad1055ffff,157-5-3,10,2,51.47450836,-0.142111536,75.864,"POLYGON ((-0.1419369139899898 51.475147852150634, -0.1428947550047114 51.47497699706915, -0.1430693673577583 51.47433749983714, -0.1422861546440954 51.47386886314064, -0.1413283353770382 51.47403971905593, -0.1411537070763157 51.474679210833884, -0.1419369139899898 51.475147852150634))",0,True,True,0,,
8a194ad10567fff,157-5-4,10,2,51.47612901,-0.139846593,75.864,"POLYGON ((-0.1396719440213186 51.47676848293144, -0.1406298003130155 51.47659765708562, -0.1408044395444085 51.47595817984884, -0.1400212384316947 51.47548953391207, -0.1390634038891425 51.4756603605922, -0.1388887487105007 51.476299832374764, -0.1396719440213186 51.47676848293144))",0,True,True,0,,
8a194ad1056ffff,157-5-5,10,2,51.47502088,-0.139238055,75.864,"POLYGON ((-0.1390634038891425 51.4756603605922, -0.1400212384316947 51.47548953391207, -0.1401958801712023 51.47485005213166, -0.1394127033147486 51.47438140248576, -0.1384548905205833 51.474552230000526, -0.1382802328348109 51.47519170632652, -0.1390634038891425 51.4756603605922))",0,True,True,0,,
8a194ad10577fff,157-5-6,10,2,51.47642682,-0.141587659,75.864,"POLYGON ((-0.1414130256832327 51.477066299312646, -0.1423708960859029 51.47689545968272, -0.1425455193688828 51.476255976992064, -0.1417622881979265 51.47578733938515, -0.1408044395444085 51.47595817984884, -0.1406298003130155 51.47659765708562, -0.1414130256832327 51.477066299312646))",0,True,True,0,,
8b194ad10540fff,157-5-0-0,11,3,51.4753187,-0.140979075,28.827,"POLYGON ((-0.1410410663451967 51.47556835648732, -0.1413396829247002 51.47542818966729, -0.1412776904009779 51.47517853050896, -0.1409170844933452 51.47506903858968, -0.1406184698373149 51.47520920498933, -0.140680459165427 51.47545886372865, -0.1410410663451967 51.47556835648732))",0,True,True,0,,
8b194ad10542fff,157-5-0-2,11,3,51.47528802,-0.141638299,28.827,"POLYGON ((-0.1417002932149739 51.47553768069653, -0.1419989097093261 51.475397511728, -0.1419369139899898 51.475147852150634, -0.1415763049719235 51.4750383619608, -0.1412776904009779 51.47517853050896, -0.1413396829247002 51.47542818966729, -0.1417002932149739 51.47553768069653))",0,True,True,0,,
8b194ad10543fff,157-5-0-3,11,3,51.47492887,-0.141215698,28.827,"POLYGON ((-0.1412776904009779 51.47517853050896, -0.1415763049719235 51.4750383619608, -0.1415143117118036 51.474788701913766, -0.1411537070763157 51.474679210833884, -0.1408550944287996 51.47481937896164, -0.1409170844933452 51.47506903858968, -0.1412776904009779 51.47517853050896))",0,True,True,0,,
8b194ad10544fff,157-5-0-4,11,3,51.47570852,-0.140742449,28.827,"POLYGON ((-0.1408044395444085 51.47595817984884, -0.1411030581325045 51.475818014756946, -0.1410410663451967 51.47556835648732, -0.140680459165427 51.47545886372865, -0.1403818425008682 51.475599028400175, -0.140443831092535 51.475848686250764, -0.1408044395444085 51.47595817984884))",0,True,True,0,,
8b194ad10545fff,157-5-0-5,11,3,51.47534937,-0.140319854,28.827,"POLYGON ((-0.1403818425008682 51.475599028400175, -0.140680459165427 51.47545886372865, -0.1406184698373149 51.47520920498933, -0.1402578670402079 51.475099711340604, -0.1399592522991431 51.475239875591804, -0.1400212384316844 51.47548953391205, -0.1403818425008682 51.475599028400175))",0,True,True,0,,
8b194ad10546fff,157-5-0-6,11,3,51.47567785,-0.141401676,28.827,"POLYGON ((-0.1414636696949676 51.47592750662557, -0.1417622881979265 51.47578733938515, -0.1417002932149739 51.47553768069653, -0.1413396829247002 51.47542818966729, -0.1410410663451967 51.47556835648732, -0.1411030581325045 51.475818014756946, -0.1414636696949676 51.47592750662557))",0,True,True,1,,
8b194ad10548fff,157-5-1-0,11,3,51.47421057,-0.140370518,28.827,"POLYGON ((-0.1404325052983191 51.474460226054696, -0.1407311160223928 51.47432005834729, -0.1406691276805297 51.47407039736093, -0.1403085318100454 51.473960904501084, -0.1400099230094115 51.47410107178815, -0.1400719081558 51.474350732355404, -0.1404325052983191 51.474460226054696))",0,True,True,0,,
8b194ad10549fff,157-5-1-1,11,3,51.47385141,-0.139947938,28.827,"POLYGON ((-0.1400099230094115 51.47410107178815, -0.1403085318100454 51.473960904501084, -0.1402465459272024 51.47371124304517, -0.1398859544391332 51.47360174929542, -0.1395873475619315 51.47374191616215, -0.1396493302493599 51.47399157719898, -0.1400099230094115 51.47410107178815))",0,True,True,0,,
8b194ad1054afff,157-5-1-2,11,3,51.47417989,-0.141029726,28.827,"POLYGON ((-0.1410917162753535 51.474429550317176, -0.1413903269143797 51.4742893804613, -0.1413283353770382 51.47403971905593, -0.1409677363961522 51.47393022792544, -0.1406691276805297 51.47407039736093, -0.1407311160223928 51.47432005834729, -0.1410917162753535 51.474429550317176))",0,True,True,0,,
8b194ad1054bfff,157-5-1-3,11,3,51.47382074,-0.14060714,28.827,"POLYGON ((-0.1406691276805297 51.47407039736093, -0.1409677363961522 51.47393022792544, -0.1409057473178959 51.47368056605046, -0.1405451527194235 51.47357107403001, -0.1402465459272024 51.47371124304517, -0.1403085318100454 51.473960904501084, -0.1406691276805297 51.47407039736093))",0,True,True,0,,
8b194ad1054cfff,157-5-1-4,11,3,51.47460039,-0.140133894,28.827,"POLYGON ((-0.1401958801711972 51.47485005213164, -0.1404944929037619 51.474709886152326, -0.1404325052983191 51.474460226054696, -0.1400719081558 51.474350732355404, -0.139773297346734 51.4744908979144, -0.1398352817566765 51.47474055759297, -0.1401958801711972 51.47485005213164))",0,True,True,0,,
8b194ad1054dfff,157-5-1-5,11,3,51.47424124,-0.139711314,28.827,"POLYGON ((-0.139773297346734 51.4744908979144, -0.1400719081558 51.474350732355404, -0.1400099230094115 51.47410107178815, -0.1396493302493599 51.47399157719898, -0.1393507213637953 51.474131742337605, -0.1394127033147435 51.47438140248577, -0.139773297346734 51.4744908979144))",0,True,True,0,,
8b194ad1054efff,157-5-1-6,11,3,51.47456972,-0.140793105,28.827,"POLYGON ((-0.1408550944287996 51.47481937896164, -0.1411537070763157 51.474679210833884, -0.1410917162753535 51.474429550317176, -0.1407311160223928 51.47432005834729, -0.1404325052983191 51.474460226054696, -0.1404944929037619 51.474709886152326, -0.1408550944287996 51.47481937896164))",0,True,True,0,,
8c194ad105411ff,157-5-0-1-0,12,4,51.47495955,-0.140556481,10.95,"POLYGON ((-0.1405315329375648 51.47505090075154, -0.1406683659523024 51.47502649516722, -0.1406933138982641 51.47493514010776, -0.1405814291549272 51.47486819074399, -0.1404445965840279 51.47489259634536, -0.1404196483126182 51.474983951293474, -0.1405315329375648 51.47505090075154))",0,True,True,0,,
8c194ad105413ff,157-5-0-1-1,12,4,51.47480124,-0.140469545,10.95,"POLYGON ((-0.1404445965840279 51.47489259634536, -0.1405814291549272 51.47486819074399, -0.1406063771520563 51.47477683559184, -0.1404944929037619 51.474709886152326, -0.1403576607767023 51.47473429177072, -0.1403327124540985 51.474825646811595, -0.1404445965840279 51.47489259634536))",0,True,True,7,,
8c194ad105415ff,157-5-0-1-2,12,4,51.47500209,-0.140805199,10.95,"POLYGON ((-0.1407802511906563 51.475093444455304, -0.1409170844933452 51.47506903858968, -0.1409420321138499 51.47497768341891, -0.1408301467571136 51.47491073422511, -0.1406933138982641 51.47493514010776, -0.1406683659523024 51.47502649516722, -0.1407802511906563 51.475093444455304))",0,True,True,1,,
8c194ad105417ff,157-5-0-1-3,12,4,51.47484378,-0.140718262,10.95,"POLYGON ((-0.1406933138982641 51.47493514010776, -0.1408301467571136 51.47491073422511, -0.1408550944287996 51.47481937896164, -0.1407432095670751 51.474752429692145, -0.1406063771520563 51.47477683559184, -0.1405814291549272 51.47486819074399, -0.1406933138982641 51.47493514010776))",0,True,True,0,,
8c194ad105419ff,157-5-0-1-4,12,4,51.47507531,-0.1403947,10.95,"POLYGON ((-0.1403697515467363 51.47516666089298, -0.1405065847173509 51.47514225560696, -0.1405315329375648 51.47505090075154, -0.1404196483126182 51.474983951293474, -0.1402828155858645 51.475008356596526, -0.1402578670402079 51.475099711340604, -0.1403697515467363 51.47516666089298))",0,True,True,0,,
8c194ad10541bff,157-5-0-1-5,12,4,51.474917,-0.140307764,10.95,"POLYGON ((-0.1402828155858645 51.475008356596526, -0.1404196483126182 51.474983951293474, -0.1404445965840279 51.47489259634536, -0.1403327124540985 51.474825646811595, -0.1401958801711972 51.47485005213164, -0.1401709315743435 51.47494140696846, -0.1402828155858645 51.475008356596526))",0,True,True,14,,
8c194ad10541dff,157-5-0-1-6,12,4,51.47511785,-0.140643418,10.95,"POLYGON ((-0.1406184698373149 51.47520920498933, -0.1407553032958941 51.47518479942201, -0.1407802511906563 51.475093444455304, -0.1406683659523024 51.47502649516722, -0.1405315329375648 51.47505090075154, -0.1405065847173509 51.47514225560696, -0.1406184698373149 51.47520920498933))",0,True,True,0,,
88194ad13dfffff,236,8,0,51.4616732,-0.149259258,531.415,"POLYGON ((-0.1480375854474834 51.466150332131114, -0.1547416867326952 51.46495341402605, -0.155962879728727 51.46047603019894, -0.1504807528409356 51.45719583172938, -0.1437777166706853 51.45839279064468, -0.1425557423844994 51.46286990720415, -0.1480375854474834 51.466150332131114))",0,True,True,7,,
89194ad1383ffff,221-0,9,1,51.45958929,-0.137074786,200.821,"POLYGON ((-0.1375084834787358 51.46133708690898, -0.1395982620518797 51.460355718123296, -0.1391645004593788 51.45860789564878, -0.1366411167878022 51.45784146251155, -0.1345514324279438 51.458822810707986, -0.1349850375267582 51.4605706126295, -0.1375084834787358 51.46133708690898))",0,True,True,15,,
89194ad1387ffff,221-1,9,1,51.45707499,-0.134117855,200.821,"POLYGON ((-0.1345514324279438 51.458822810707986, -0.1366411167878022 51.45784146251155, -0.1362074756109152 51.45609361707754, -0.1336843065510596 51.45532714039932, -0.1315947164076812 51.45630846801167, -0.132028201108066 51.45805629288492, -0.1345514324279438 51.458822810707986))",0,True,True,0,,
89194ad138bffff,221-2,9,1,51.45937429,-0.141688006,200.821,"POLYGON ((-0.1421218603541513 51.46112210770178, -0.1442116347610886 51.4601406336634, -0.14377771667067 51.458392790644695, -0.1412541806716322 51.457626442207115, -0.1391645004593788 51.45860789564878, -0.1395982620518797 51.460355718123296, -0.1421218603541513 51.46112210770178))",0,True,True,1,,
89194ad138fffff,221-3,9,1,51.45686005,-0.138730767,200.821,"POLYGON ((-0.1391645004593788 51.45860789564878, -0.1412541806716322 51.457626442207115, -0.1408203830140704 51.45587857622114, -0.1382970616253158 51.455112184227374, -0.1362074756109152 51.45609361707754, -0.1366411167878022 51.45784146251155, -0.1391645004593788 51.45860789564878))",0,True,True,3,,
89194ad1397ffff,221-5,9,1,51.4598041,-0.132461714,200.821,"POLYGON ((-0.1328952548158469 51.46155187616757, -0.1349850375267582 51.4605706126295, -0.1345514324279438 51.458822810707986, -0.132028201108066 51.45805629288492, -0.129938512629048 51.45903753584116, -0.1303719612383774 51.460785317200894, -0.1328952548158469 51.46155187616757))",0,True,True,16,,
89194ad1303ffff,271-0,9,1,51.45391544,-0.144999513,200.821,"POLYGON ((-0.1454334385644303 51.45566334542354, -0.1475230162355569 51.45468170208256, -0.1470890260490293 51.4529337720488, -0.1445656146636867 51.45216750589676, -0.1424761311564132 51.453149128636525, -0.1429099648710329 51.45489703812811, -0.1454334385644303 51.45566334542354))",0,True,True,4,,
89194ad1307ffff,271-1,9,1,51.4514012,-0.142042326,200.821,"POLYGON ((-0.1424761311564132 51.453149128636525, -0.1445656146636867 51.45216750589676, -0.1441317449000218 51.450419552905444, -0.1416085480841696 51.44965324320241, -0.1395191587439313 51.45063484534612, -0.1399528720529044 51.4523827777875, -0.1424761311564132 51.453149128636525))",0,True,True,0,,
89194ad130bffff,271-2,9,1,51.4537,-0.14961256,200.821,"POLYGON ((-0.1500466422093821 51.455447924665776, -0.1521362156661995 51.45446617607181, -0.1517020690035915 51.45271822550466, -0.1491785053606332 51.45195204406347, -0.1470890260490293 51.4529337720488, -0.1475230162355569 51.45468170208256, -0.1500466422093821 51.455447924665776))",0,True,True,4,,
89194ad130fffff,271-3,9,1,51.45118582,-0.146655064,200.821,"POLYGON ((-0.1470890260490293 51.4529337720488, -0.1491785053606332 51.45195204406347, -0.1487444791380861 51.45020407053097, -0.1462211300631998 51.449437845523576, -0.1441317449000218 51.450419552905444, -0.1445656146636867 51.45216750589676, -0.1470890260490293 51.4529337720488))",0,True,True,8,,
89194ad1313ffff,271-4,9,1,51.45664493,-0.143343827,200.821,"POLYGON ((-0.14377771667067 51.458392790644695, -0.1458673927069 51.45741123195272, -0.1454334385644303 51.45566334542354, -0.1429099648710329 51.45489703812811, -0.1408203830140704 51.45587857622114, -0.1412541806716322 51.457626442207115, -0.14377771667067 51.458392790644695))",0,True,True,1,,
89194ad1317ffff,271-5,9,1,51.45413069,-0.140386613,200.821,"POLYGON ((-0.1408203830140704 51.45587857622114, -0.1429099648710329 51.45489703812811, -0.1424761311564132 51.453149128636525, -0.1399528720529044 51.4523827777875, -0.1378633843783897 51.453364295286754, -0.1382970616253158 51.455112184227374, -0.1408203830140704 51.45587857622114))",0,True,True,9,,
89194ad131bffff,271-6,9,1,51.45642961,-0.147957035,200.821,"POLYGON ((-0.1483910810091974 51.458177495676715, -0.1504807528409356 51.45719583172938, -0.1500466422093821 51.455447924665776, -0.1475230162355569 51.45468170208256, -0.1454334385644303 51.45566334542354, -0.1458673927069 51.45741123195272, -0.1483910810091974 51.458177495676715))",0,True,True,2,,
8a194ad13907fff,221-4-0,10,2,51.46231839,-0.135418671,75.864,"POLYGON ((-0.1352440210153522 51.46295793442555, -0.1362016228482993 51.46278707015662, -0.1363762627789719 51.462147522972174, -0.135593316813955 51.4616788455131, -0.1346357367201598 51.46184971061894, -0.1344610808525606 51.46248925234693, -0.1352440210153522 51.46295793442555))",0,True,True,8,,
8a194ad1390ffff,221-4-1,10,2,51.46121016,-0.134810389,75.864,"POLYGON ((-0.1346357367201598 51.46184971061894, -0.135593316813955 51.4616788455131, -0.1357679592490915 51.46103929379004, -0.1349850375267582 51.4605706126295, -0.1340274791713832 51.460741478572544, -0.1338528208002727 51.46138102483891, -0.1346357367201598 51.46184971061894))",0,True,True,0,,
8a194ad13917fff,221-4-2,10,2,51.4626162,-0.137159227,75.864,"POLYGON ((-0.1369845930572067 51.46325574391353, -0.1379422089981616 51.463084865866165, -0.1381168329907084 51.462445313225544, -0.1373338569807315 51.46197664408845, -0.1363762627789719 51.462147522972174, -0.1362016228482993 51.46278707015662, -0.1369845930572067 51.46325574391353))",0,True,True,12,,
8a194ad1391ffff,221-4-3,10,2,51.46150797,-0.136550899,75.864,"POLYGON ((-0.1363762627789719 51.462147522972174, -0.1373338569807315 51.46197664408845, -0.1375084834787358 51.46133708690898, -0.1367255317124489 51.460868414069644, -0.1357679592490915 51.46103929379004, -0.135593316813955 51.4616788455131, -0.1363762627789719 51.462147522972174))",0,True,True,2,,
8a194ad13927fff,221-4-4,10,2,51.46312879,-0.134286421,75.864,"POLYGON ((-0.1341117581881753 51.46376832126874, -0.1350693676516829 51.463597471614705, -0.1352440210153522 51.46295793442555, -0.1344610808525606 51.46248925234693, -0.1335034931289804 51.46266010283813, -0.1333288238286106 51.46329963457072, -0.1341117581881753 51.46376832126874))",0,True,True,10,,
8a194ad1392ffff,221-4-5,10,2,51.46202057,-0.133678159,75.864,"POLYGON ((-0.1335034931289804 51.46266010283813, -0.1344610808525606 51.46248925234693, -0.1346357367201598 51.46184971061894, -0.1338528208002727 51.46138102483891, -0.1328952548158469 51.46155187616757, -0.1327205830124898 51.4621914124388, -0.1335034931289804 51.46266010283813))",0,True,True,1,,
8a194ad13937fff,221-4-6,10,2,51.46342661,-0.136026979,75.864,"POLYGON ((-0.135852332058555 51.46406614999123, -0.1368099556314525 51.46389528655894, -0.1369845930572067 51.46325574391353, -0.1362016228482993 51.46278707015662, -0.1352440210153522 51.46295793442555, -0.1350693676516829 51.463597471614705, -0.135852332058555 51.46406614999123))",0,True,True,2,,
8a194ad13987fff,221-6-0,10,2,51.46210352,-0.140032052,75.864,"POLYGON ((-0.1398574473538656 51.462743081377354, -0.1408150697675433 51.46257217493568, -0.1409896643876806 51.46193260684437, -0.1402066525339914 51.46146395065045, -0.1392490518587718 51.46163485792767, -0.1390744412991193 51.46227442056322, -0.1398574473538656 51.462743081377354))",0,True,True,5,,
8a194ad1398ffff,221-6-1,10,2,51.46099529,-0.139423659,75.864,"POLYGON ((-0.1392490518587718 51.46163485792767, -0.1402066525339914 51.46146395065045, -0.1403812496610988 51.46082437802029, -0.1395982620518797 51.460355718123296, -0.1386406831143556 51.460526626236394, -0.138466070048691 51.46116619341054, -0.1392490518587718 51.46163485792767))",0,True,True,3,,
8a194ad13997fff,221-6-2,10,2,51.46240126,-0.141772694,75.864,"POLYGON ((-0.1415981058669092 51.463040827425836, -0.1425557423844994 51.46286990720415, -0.1427303210639122 51.462230333657345, -0.1419472791667748 51.46176168578764, -0.1409896643876806 51.46193260684437, -0.1408150697675433 51.46257217493568, -0.1415981058669092 51.463040827425836))",0,True,True,0,,
8a194ad1399ffff,221-6-3,10,2,51.46129303,-0.141164255,75.864,"POLYGON ((-0.1409896643876806 51.46193260684437, -0.1419472791667748 51.46176168578764, -0.1421218603541513 51.46112210770178, -0.141338842702485 51.46065345612826, -0.1403812496610988 51.46082437802029, -0.1402066525339914 51.46146395065045, -0.1409896643876806 51.46193260684437))",0,True,True,0,,
8a194ad139a7fff,221-6-4,10,2,51.46291398,-0.138899827,75.864,"POLYGON ((-0.1387252092530148 51.46355353130034, -0.1396828393006389 51.46338263947384, -0.1398574473538656 51.462743081377354, -0.1390744412991193 51.46227442056322, -0.1381168329907084 51.462445313225544, -0.1379422089981616 51.463084865866165, -0.1387252092530148 51.46355353130034))",0,True,True,2,,
