tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,current
8819732445fffff,0,0,8,0,54.87641147037792,-1.5690795788564569,531.415,"POLYGON ((-1.5678831029295734 54.88075955400465, -1.5750698559208698 54.87960965386887, -1.5762657725615428 54.87526131891974, -1.570275866463723 54.87206312120509, -1.5630903082801386 54.87321302203617, -1.5618934615170024 54.877561119865874, -1.5678831029295734 54.88075955400465))",0,True,True,False
8819732469fffff,1,1,8,0,54.878459251694885,-1.5822566851024762,531.415,"POLYGON ((-1.581061139596104 54.88280757237632, -1.5882486042091906 54.88165691939782, -1.5894435902494775 54.87730834744387, -1.5834520424073921 54.874110665452484, -1.5762657725615428 54.87526131891974, -1.5750698559208698 54.87960965386887, -1.581061139596104 54.88280757237632))",0,True,True,False
881973244dfffff,2,2,8,0,54.88190895214108,-1.5606964263535206,531.415,"POLYGON ((-1.5594992027462005 54.88625651883035, -1.5666864386396202 54.88510737205375, -1.5678831029295734 54.88075955400465, -1.5618934615170024 54.877561119865874, -1.5547074207680582 54.878710267422385, -1.5535098264176115 54.88305784831702, -1.5594992027462005 54.88625651883035))",0,True,True,False
8819732713fffff,3,3,8,0,54.88395772324869,-1.5738737509979404,531.415,"POLYGON ((-1.572677457749294 54.88830552702778, -1.5798654058448653 54.88715562746538, -1.581061139596104 54.88280757237632, -1.5750698559208698 54.87960965386887, -1.5678831029295734 54.88075955400465, -1.5666864386396202 54.88510737205375, -1.572677457749294 54.88830552702778))",0,True,True,False
8819732627fffff,4,4,8,0,54.8874051636174,-1.5523120435425926,531.415,"POLYGON ((-1.5511140720995529 54.89175221329201, -1.5583017906516086 54.89060381990224, -1.5594992027462005 54.88625651883035, -1.5535098264176115 54.88305784831702, -1.546323303346758 54.884206242571395, -1.5451249612537818 54.88855330645376, -1.5511140720995529 54.89175221329201))",0,True,True,False
8819732717fffff,5,5,8,0,54.8860052257677,-1.5870534300048575,531.415,"POLYGON ((-1.5858580675931244 54.89035326652203, -1.5930467272697915 54.889202613910335, -1.5942415300042578 54.88485432189597, -1.5882486042091906 54.88165691939782, -1.581061139596104 54.88280757237632, -1.5798654058448653 54.88715562746538, -1.5858580675931244 54.89035326652203))",0,True,True,False
881973271bfffff,6,6,8,0,54.88945492449379,-1.565489585943193,531.415,"POLYGON ((-1.564292544796822 54.89380221129329, -1.5714809761315331 54.89265306517468, -1.572677457749294 54.88830552702778, -1.5666864386396202 54.88510737205375, -1.5594992027462005 54.88625651883035, -1.5583017906516086 54.89060381990224, -1.564292544796822 54.89380221129329))",0,True,True,False
881973255dfffff,7,7,8,0,54.87909226857068,-1.6301831597137295,531.415,"POLYGON ((-1.6289911561066104 54.883441816447586, -1.6361802663884915 54.88228814980339, -1.6373717100223186 54.87793835084163, -1.6313749755989724 54.87474245512838, -1.6241870596222001 54.87589612155701, -1.6229946838938505 54.88024568389359, -1.6289911561066104 54.883441816447586))",0,True,True,False
8819732509fffff,8,8,8,0,54.87562900801075,-1.651749033205035,531.415,"POLYGON ((-1.650558709665165 54.879979309054505, -1.6577480422094932 54.87882413487275, -1.658937805628795 54.874473582831875, -1.6529391692660989 54.871278441426654, -1.6457510306460499 54.87243361510173, -1.6445603345944788 54.87678393066782, -1.650558709665165 54.879979309054505))",0,True,True,False
8819732711fffff,9,9,8,0,54.89150341693056,-1.578669483805323,531.415,"POLYGON ((-1.5774733734340607 54.89585094074038, -1.584662516930514 54.89470104162938, -1.5858580675931244 54.89035326652203, -1.5798654058448653 54.88715562746538, -1.572677457749294 54.88830552702778, -1.5714809761315331 54.89265306517468, -1.5774733734340607 54.89585094074038))",0,True,True,False
8819732737fffff,10,10,8,0,54.88459498065637,-1.6218021203626607,531.415,"POLYGON ((-1.6206093689852947 54.888944011813855, -1.6277989647343145 54.88779109872754, -1.6289911561066104 54.883441816447586, -1.6229946838938505 54.88024568389359, -1.6158062827878426 54.881398596848896, -1.6146131593818296 54.88574764246837, -1.6206093689852947 54.888944011813855))",0,True,True,False
8819732625fffff,11,11,8,0,54.89495085532525,-1.5571041900262823,531.415,"POLYGON ((-1.5559064008267343 54.89929762506795, -1.5630953151570264 54.8981492324208, -1.564292544796822 54.89380221129329, -1.5583017906516086 54.89060381990224, -1.5511140720995529 54.89175221329201, -1.549915912044981 54.896098997309466, -1.5559064008267343 54.89929762506795))",0,True,True,False
8819732543fffff,12,12,8,0,54.88113398068522,-1.643369450983079,531.415,"POLYGON ((-1.6421783797685388 54.885483765122416, -1.6493681986031978 54.88432934452647, -1.650558709665165 54.879979309054505, -1.6445603345944788 54.87678393066782, -1.6373717100223186 54.87793835084163, -1.6361802663884915 54.88228814980339, -1.6421783797685388 54.885483765122416))",0,True,True,False
8819732715fffff,13,13,8,0,54.893550640286016,-1.591851736365388,531.415,"POLYGON ((-1.5906565572475935 54.89789840099159, -1.5978464122842952 54.89674774862467, -1.5990410315134886 54.89239973667155, -1.5930467272697915 54.889202613910335, -1.5858580675931244 54.89035326652203, -1.584662516930514 54.89470104162938, -1.5906565572475935 54.89789840099159))",0,True,True,False
8819732731fffff,14,14,8,0,54.890096422474194,-1.613419848048666,531.415,"POLYGON ((-1.6122263487449584 54.894444936834915, -1.6194164297183855 54.893292777334594, -1.6206093689852947 54.888944011813855, -1.6146131593818296 54.88574764246837, -1.6074242733893118 54.88689980192221, -1.6062304021496587 54.89124833074718, -1.6122263487449584 54.894444936834915))",0,True,True,False
8819732719fffff,15,15,8,0,54.8970003376579,-1.5702843061011809,531.415,"POLYGON ((-1.569087447614779 54.90134734444604, -1.5762770746876025 54.90019819886345, -1.5774733734340607 54.89585094074038, -1.5714809761315331 54.89265306517468, -1.564292544796822 54.89380221129329, -1.5630953151570264 54.8981492324208, -1.569087447614779 54.90134734444604))",0,True,True,False
881973254bfffff,16,16,8,0,54.88663768317661,-1.6349886350704943,531.415,"POLYGON ((-1.6337968160249967 54.890986950929744, -1.640987120907547 54.88983328394793, -1.6421783797685388 54.885483765122416, -1.6361802663884915 54.88228814980339, -1.6289911561066104 54.883441816447586, -1.6277989647343145 54.88779109872754, -1.6337968160249967 54.890986950929744))",0,True,True,False
8819732547fffff,17,17,8,0,54.88317442135017,-1.656558091349177,531.415,"POLYGON ((-1.6553679530046044 54.887524442232625, -1.6625584797683837 54.88636926742205, -1.663748057781178 54.88201899555505, -1.6577480422094932 54.87882413487275, -1.650558709665165 54.879979309054505, -1.6493681986031978 54.88432934452647, -1.6553679530046044 54.887524442232625))",0,True,True,False
8819732739fffff,18,18,8,0,54.89559659391868,-1.6050363428585124,531.415,"POLYGON ((-1.6038420954724777 54.899944591405294, -1.611032661427352 54.898793185519054, -1.6122263487449584 54.894444936834915, -1.6062304021496587 54.89124833074718, -1.5990410315134886 54.89239973667155, -1.5978464122842952 54.89674774862467, -1.6038420954724777 54.899944591405294))",0,True,True,False
881973271dfffff,19,19,8,0,54.89904855105826,-1.583466777973611,531.415,"POLYGON ((-1.5822708506789966 54.90339579477727, -1.5894611898729958 54.90224589599563, -1.5906565572475935 54.89789840099159, -1.584662516930514 54.89470104162938, -1.5774733734340607 54.89585094074038, -1.5762770746876025 54.90019819886345, -1.5822708506789966 54.90339579477727))",0,True,True,False
8819732735fffff,20,20,8,0,54.89214011537909,-1.626606585553482,531.415,"POLYGON ((-1.625414018520802 54.896488866370746, -1.632604809208657 54.89533595303135, -1.6337968160249967 54.890986950929744, -1.6277989647343145 54.88779109872754, -1.6206093689852947 54.888944011813855, -1.6194164297183855 54.893292777334594, -1.625414018520802 54.896488866370746))",0,True,True,False
8819732753fffff,21,21,8,0,54.902495987844894,-1.5618978969803248,531.415,"POLYGON ((-1.560700290223275 54.90684247753417, -1.5678904006288603 54.90569408550765, -1.569087447614779 54.90134734444604, -1.5630953151570264 54.8981492324208, -1.5559064008267343 54.89929762506795, -1.554708423009452 54.90364412909892, -1.560700290223275 54.90684247753417))",0,True,True,False
8819732541fffff,22,22,8,0,54.88867911439508,-1.648177499975873,531.415,"POLYGON ((-1.6469866137398916 54.89302861862883, -1.654177627132457 54.891874197488576, -1.6553679530046044 54.887524442232625, -1.6493681986031978 54.88432934452647, -1.6421783797685388 54.885483765122416, -1.640987120907547 54.88983328394793, -1.6469866137398916 54.89302861862883))",0,True,True,False
8819732703fffff,23,23,8,0,54.90109549488455,-1.596651604879253,531.415,"POLYGON ((-1.5954566092549027 54.90544297541978, -1.6026476599481312 54.90429232317555, -1.6038420954724777 54.899944591405294, -1.5978464122842952 54.89674774862467, -1.5906565572475935 54.89789840099159, -1.5894611898729958 54.90224589599563, -1.5954566092549027 54.90544297541978))",0,True,True,False
881973273dfffff,24,24,8,0,54.89764127718711,-1.6182233025185695,531.415,"POLYGON ((-1.6170299873424767 54.90198951133991, -1.6242212635928466 54.900837351671065, -1.625414018520802 54.896488866370746, -1.6194164297183855 54.893292777334594, -1.6122263487449584 54.894444936834915, -1.611032661427352 54.898793185519054, -1.6170299873424767 54.90198951133991))",0,True,True,False
8819732757fffff,25,25,8,0,54.90454519126832,-1.575080587522521,531.415,"POLYGON ((-1.5738839118953398 54.90889191792355, -1.581074735003175 54.90774277275494, -1.5822708506789966 54.90339579477727, -1.5762770746876025 54.90019819886345, -1.569087447614779 54.90134734444604, -1.5678904006288603 54.90569408550765, -1.5738839118953398 54.90889191792355))",0,True,True,False
8819732549fffff,26,26,8,0,54.89418253713024,-1.6397956743568078,531.415,"POLYGON ((-1.638604040072982 54.898531524637875, -1.6457955398518958 54.897377857196304, -1.6469866137398916 54.89302861862883, -1.640987120907547 54.88983328394793, -1.6337968160249967 54.890986950929744, -1.632604809208657 54.89533595303135, -1.638604040072982 54.898531524637875))",0,True,True,False
881973275bfffff,27,27,8,0,54.90799036738678,-1.553510256530953,531.415,"POLYGON ((-1.552311901347693 54.9123363399001, -1.5595024948423126 54.91118870145721, -1.560700290223275 54.90684247753417, -1.554708423009452 54.90364412909892, -1.5475190259273066 54.90479176824707, -1.5463202997771393 54.90913775510444, -1.552311901347693 54.9123363399001))",0,True,True,False
8819732545fffff,28,28,8,0,54.89071927367093,-1.6613687143091418,531.415,"POLYGON ((-1.6601787613601984 54.89506901427025, -1.6673704826386577 54.89391383870868, -1.6685598750445199 54.889563847137424, -1.6625584797683837 54.88636926742205, -1.6553679530046044 54.887524442232625, -1.654177627132457 54.891874197488576, -1.6601787613601984 54.89506901427025))",0,True,True,False
88197334d7fffff,29,29,8,0,54.92856655757239,-1.42410302472304,531.415,"POLYGON ((-1.4228946016636261 54.932907999756246, -1.4300837749161877 54.93176939427002, -1.4312916390775219 54.9274277001557, -1.4253112576257605 54.92422484946537, -1.4181232830281425 54.9253634574051, -1.4169144913585174 54.92970491356111, -1.4228946016636261 54.932907999756246))",0,True,True,False
