h3_9,host_seed_tile_id,host_seed_index,host_tile_path_id,center_lat,center_lon
89194ad3043ffff,88194ad305fffff,0,0,51.51478336057267,-0.09007851038400494
89194ad3047ffff,88194ad305fffff,0,0,51.512268917908386,-0.08712198674341333
89194ad304bffff,88194ad305fffff,0,0,51.51457144742812,-0.0946944977000979
89194ad304fffff,88194ad305fffff,0,0,51.512057068842665,-0.09173766445566368
89194ad3053ffff,88194ad305fffff,0,0,51.51750952391123,-0.08841922159917179
89194ad3057ffff,88194ad305fffff,0,0,51.514995083760475,-0.08546267208853855
89194ad305bffff,88194ad305fffff,0,0,51.51729773664426,-0.09303536953439723
89194ad32a3ffff,88194ad32bfffff,1,1,51.50911848384186,-0.09801234991483124
89194ad32a7ffff,88194ad32bfffff,1,1,51.50660410024996,-0.09505556851369483
89194ad32abffff,88194ad32bfffff,1,1,51.50890612898362,-0.1026281649042961
89194ad32afffff,88194ad32bfffff,1,1,51.50639180949266,-0.09967107399109476
89194ad32b3ffff,88194ad32bfffff,1,1,51.51184502982381,-0.09635349115569745
89194ad32b7ffff,88194ad32bfffff,1,1,51.509330648731606,-0.0933966838276813
89194ad32bbffff,88194ad32bfffff,1,1,51.51163280083285,-0.10096946679086319
89194ad3283ffff,88194ad329fffff,2,2,51.51687359215286,-0.10226811235404815
89194ad3287ffff,88194ad329fffff,2,2,51.51435934430769,-0.09931063398404093
89194ad328bffff,88194ad329fffff,2,2,51.5166612348904,-0.10688470713298817
89194ad328fffff,88194ad329fffff,2,2,51.51414705119249,-0.1039269191831362
89194ad3293ffff,88194ad329fffff,2,2,51.51960000472135,-0.10060917080745523
89194ad3297ffff,88194ad329fffff,2,2,51.5170857593978,-0.09765166647025092
89194ad329bffff,88194ad329fffff,2,2,51.51938777332881,-0.10522592630702225
89194ad3623ffff,88194ad363fffff,3,3,51.52253820438197,-0.0943333272672558
89194ad3627ffff,88194ad363fffff,3,3,51.5200238974619,-0.09137610664497202
89194ad362bffff,88194ad363fffff,3,3,51.52232628888759,-0.09895009452982315
89194ad362fffff,88194ad363fffff,3,3,51.51981204609273,-0.09599256423588534
89194ad3633ffff,88194ad363fffff,3,3,51.52526423425518,-0.09267395555081367
89194ad3637ffff,88194ad363fffff,3,3,51.52274992987053,-0.08971670901817445
89194ad363bffff,88194ad363fffff,3,3,51.525052444641105,-0.09729088350746022
89194ad3063ffff,88194ad307fffff,4,4,51.507028111946234,-0.08582500437843614
89194ad3067ffff,88194ad307fffff,4,4,51.50451353369613,-0.0828691774629507
89194ad306bffff,88194ad307fffff,4,4,51.5068162010615,-0.09044021195858207
89194ad306fffff,88194ad307fffff,4,4,51.5043016868439,-0.08748407550711483
89194ad3073ffff,88194ad307fffff,4,4,51.50975440868176,-0.08416579857115102
89194ad3077ffff,88194ad307fffff,4,4,51.50723983292322,-0.08120994582589768
89194ad307bffff,88194ad307fffff,4,4,51.50954262367188,-0.0887811666955265
89194ad30c3ffff,88194ad30dfffff,5,5,51.52044703026975,-0.08214363861608454
89194ad30c7ffff,88194ad30dfffff,5,5,51.51793252858279,-0.07918737294147103
89194ad30cbffff,88194ad30dfffff,5,5,51.52023555884791,-0.08675979808748924
89194ad30cfffff,88194ad30dfffff,5,5,51.517721121217754,-0.0838032227173072
89194ad30d3ffff,88194ad30dfffff,5,5,51.52317281090613,-0.0804839197712836
89194ad30d7ffff,88194ad30dfffff,5,5,51.520658311746544,-0.07752762828356094
89194ad30dbffff,88194ad30dfffff,5,5,51.52296146537223,-0.08510023983526806
89194ad3003ffff,88194ad301fffff,6,6,51.51269204625642,-0.07789107849303116
89194ad3007ffff,88194ad301fffff,6,6,51.510177408986145,-0.07493550955620777
89194ad300bffff,88194ad301fffff,6,6,51.51248057703994,-0.0825064580716201
89194ad300fffff,88194ad301fffff,6,6,51.50996600378012,-0.07955057950712575
89194ad3013ffff,88194ad301fffff,6,6,51.515417960341665,-0.07623144276997058
89194ad3017ffff,88194ad301fffff,6,6,51.512903325576865,-0.07327584806029297
89194ad301bffff,88194ad301fffff,6,6,51.515206617010435,-0.08084698286627226
89194ad3203ffff,88194ad321fffff,7,7,51.51120777285842,-0.11020186465557319
89194ad3207ffff,88194ad321fffff,7,7,51.50869358413795,-0.10724412874344359
89194ad320bffff,88194ad321fffff,7,7,51.51099497383694,-0.11481828677964907
89194ad320fffff,88194ad321fffff,7,7,51.50848084928575,-0.11186024137943329
89194ad3213ffff,88194ad321fffff,7,7,51.51393456806341,-0.108543353244631
89194ad3217ffff,88194ad321fffff,7,7,51.511420381850684,-0.10558559130837791
89194ad321bffff,88194ad321fffff,7,7,51.513721894901536,-0.11315993611576956
89194ad33c3ffff,88194ad33dfffff,8,8,51.50136297076062,-0.09375789847178512
89194ad33c7ffff,88194ad33dfffff,8,8,51.49884845158046,-0.09080181378309357
89194ad33cbffff,88194ad33dfffff,8,8,51.5011506182167,-0.09837293388227984
89194ad33cfffff,88194ad33dfffff,8,8,51.49863616309108,-0.09541653974920417
89194ad33d3ffff,88194ad33dfffff,8,8,51.50408965008757,-0.09209912254612154
89194ad33d7ffff,88194ad33dfffff,8,8,51.50157513338516,-0.0891430119707713
89194ad33dbffff,88194ad33dfffff,8,8,51.50387742340818,-0.09671431852736312
89194ad3663ffff,88194ad367fffff,9,9,51.524628295308275,-0.10652518634848876
89194ad3667ffff,88194ad367fffff,9,9,51.5221141833683,-0.10356701075308174
89194ad366bffff,88194ad367fffff,9,9,51.52441593555147,-0.1111425611273538
89194ad366fffff,88194ad367fffff,9,9,51.52190188780518,-0.10818407588433586
89194ad3673ffff,88194ad367fffff,9,9,51.527354574394884,-0.10486616206054943
89194ad3677ffff,88194ad367fffff,9,9,51.52484046499845,-0.10190796045759305
89194ad367bffff,88194ad367fffff,9,9,51.527142340510736,-0.10948369763499623
89194ad3223ffff,88194ad323fffff,10,10,51.50345240020402,-0.10594515710572423
89194ad3227ffff,88194ad323fffff,10,10,51.50093807573426,-0.10298811814950816
89194ad322bffff,88194ad323fffff,10,10,51.50323960364127,-0.11056079959741193
89194ad322fffff,88194ad323fffff,10,10,51.50072534329448,-0.10760345122084763
89194ad3233ffff,88194ad323fffff,10,10,51.50617932877054,-0.1042867283380475
89194ad3237ffff,88194ad323fffff,10,10,51.50366500678665,-0.10132966339810556
89194ad323bffff,88194ad323fffff,10,10,51.50596665806466,-0.10890253150192795
89194ad36a3ffff,88194ad36bfffff,11,11,51.52820160941914,-0.08639750949801132
89194ad36a7ffff,88194ad36bfffff,11,11,51.5256872434738,-0.08344054682898432
89194ad36abffff,88194ad36bfffff,11,11,51.527990135701884,-0.09101444907284278
89194ad36afffff,88194ad36bfffff,11,11,51.52547583385973,-0.08805717664038887
89194ad36b3ffff,88194ad36bfffff,11,11,51.530927256538206,-0.08473770757734184
89194ad36b7ffff,88194ad36bfffff,11,11,51.5284128931422,-0.08178071905495693
89194ad36bbffff,88194ad36bfffff,11,11,51.53071590871162,-0.0893548078197357
89194ad32c3ffff,88194ad32dfffff,12,12,51.518962740404106,-0.11445988387895005
89194ad32c7ffff,88194ad32dfffff,12,12,51.5164486875914,-0.11150145075437434
89194ad32cbffff,88194ad32dfffff,12,12,51.51874993883389,-0.11907708584576485
89194ad32cfffff,88194ad32dfffff,12,12,51.51623595023684,-0.11611834316542476
89194ad32d3ffff,88194ad32dfffff,12,12,51.52168940217912,-0.1128012898707788
89194ad32d7ffff,88194ad32dfffff,12,12,51.51917535189607,-0.10984283068176484
