tile_id,seed_index,tile_path_id,h3_res,level,center_lat,center_lon,tile_size_m,geometry,children,checked,fetch_success,current
88194ad305fffff,0,0,8,0,51.51478336,-0.09007851,531.415,"POLYGON ((-0.0888516893393572 51.519256348128906, -0.0955598473124525 51.51806520210215, -0.096786188182265 51.5135919619082, -0.0913051522289163 51.51031013513138, -0.0845980616945608 51.511501322590696, -0.0833709397865044 51.51597429537912, -0.0888516893393572 51.519256348128906))",0,False,False,False
88194ad32bfffff,1,1,8,0,51.50911848,-0.09801235,531.415,"POLYGON ((-0.096786188182265 51.5135919619082, -0.1034939729998741 51.51240009934899, -0.1047196545710628 51.50792636868545, -0.0992383325482904 51.50464476794492, -0.0925316149121113 51.50583667184678, -0.0913051522289163 51.51031013513138, -0.096786188182265 51.5135919619082))",0,False,False,False
88194ad329fffff,2,2,8,0,51.51687359,-0.102268112,531.415,"POLYGON ((-0.1010420725954044 51.52134684705529, -0.1077509248597647 51.52015502574154, -0.1089764842827582 51.51568151824434, -0.1034939729998741 51.51240009934899, -0.096786188182265 51.5135919619082, -0.0955598473124525 51.51806520210215, -0.1010420725954044 51.52134684705529))",0,False,False,False
88194ad363fffff,3,3,8,0,51.5225382,-0.094333327,531.415,"POLYGON ((-0.0931066280085635 51.52701096870593, -0.0998158536858658 51.525819864014544, -0.1010420725954044 51.52134684705529, -0.0955598473124525 51.51806520210215, -0.0888516893393572 51.519256348128906, -0.0876246890567497 51.52372909775828, -0.0931066280085635 51.52701096870593))",0,False,False,False
88194ad307fffff,4,4,8,0,51.50702811,-0.085825004,531.415,"POLYGON ((-0.0845980616945608 51.511501322590696, -0.0913051522289163 51.51031013513138, -0.0925316149121113 51.50583667184678, -0.0870517678762369 51.502554663487544, -0.0803457445152228 51.50374589247654, -0.0791185011283994 51.50821908827997, -0.0845980616945608 51.511501322590696))",0,False,False,False
88194ad30dfffff,5,5,8,0,51.52044703,-0.082143639,531.415,"POLYGON ((-0.080916158145192 51.52491952722091, -0.0876246890567497 51.52372909775828, -0.0888516893393572 51.519256348128906, -0.0833709397865044 51.51597429537912, -0.0766634765709619 51.51716476636419, -0.0754356953239905 51.521637248561476, -0.080916158145192 51.52491952722091))",0,False,False,False
88194ad301fffff,6,6,8,0,51.51269205,-0.077891078,531.415,"POLYGON ((-0.0766634765709619 51.51716476636419, -0.0833709397865044 51.51597429537912, -0.0845980616945608 51.511501322590696, -0.0791185011283994 51.50821908827997, -0.0724121053432612 51.50940960088464, -0.0711842028055504 51.51388230616536, -0.0766634765709619 51.51716476636419))",0,False,False,False
88194ad321fffff,7,7,8,0,51.51120777,-0.110201865,531.415,"POLYGON ((-0.1089764842827582 51.51568151824434, -0.1156849629172356 51.514488980339976, -0.1169098629679935 51.51001498239984, -0.111427066016315 51.50673378962552, -0.1047196545710628 51.50792636868545, -0.1034939729998741 51.51240009934899, -0.1089764842827582 51.51568151824434))",0,False,False,False
88194ad33dfffff,8,8,8,0,51.50136297,-0.093757898,531.415,"POLYGON ((-0.0925316149121113 51.50583667184678, -0.0992383325482904 51.50464476794492, -0.1004641361207624 51.500170814259164, -0.0949840029460471 51.49688903191476, -0.0882783522260914 51.4980809772564, -0.0870517678762369 51.502554663487544, -0.0925316149121113 51.50583667184678))",0,False,False,False
88194ad367fffff,9,9,8,0,51.5246283,-0.106525186,531.415,"POLYGON ((-0.105299268710771 51.52910132690273, -0.112009188687221 51.52790954673722, -0.1132346258149748 51.52343626255041, -0.1077509248597647 51.52015502574154, -0.1010420725954044 51.52134684705529, -0.0998158536858658 51.525819864014544, -0.105299268710771 51.52910132690273))",0,False,False,False
