borough-code,msoa01
E1,E02000885
E10,E02000914
E11,E02000918
E12,E02000717
E13,E02000739
E14,E02000887
E15,E02000726
E16,E02000747
E17,E02000910
E18,E02000757
E2,E02000872
E20,E02000726
E3,E02000867
E4,E02000896
E5,E02000355
E6,E02000727
E7,E02000922
E77,E02000884
E8,E02000360
E9,E02000864
E98,E02000889
EC1,E02000575
EC2,E02000576
EC3,E02000001
EC4,E02000001
EC50,E02000575
EC88,E02000371
N1,E02000572
N10,E02000045
N11,E02000308
N12,E02000042
N13,E02000305
N14,E02000296
N15,E02000422
N16,E02000352
N17,E02000408
N18,E02000310
N19,E02000554
N2,E02000056
N20,E02000034
N21,E02000298
N22,E02000405
N3,E02000046
N4,E02000427
N5,E02000566
N6,E02000426
N7,E02000561
N8,E02000419
N81,E02000412
N9,E02000301
NW1,E02000186
NW10,E02000106
NW11,E02000058
NW2,E02000063
NW26,E02000188
NW3,E02000167
NW4,E02000054
NW5,E02000168
NW6,E02000170
NW7,E02000039
NW8,E02000961
NW9,E02000094
SE1,E02000811
SE10,E02000322
SE11,E02000620
SE12,E02000668
SE13,E02000664
SE14,E02000658
SE15,E02000828
SE16,E02000814
SE17,E02000822
SE18,E02000319
SE19,E02000650
SE2,E02000070
SE20,E02000141
SE21,E02000839
SE22,E02000838
SE23,E02000671
SE24,E02000631
SE25,E02000200
SE26,E02000679
SE27,E02000645
SE28,E02000314
SE3,E02000333
SE4,E02000667
SE5,E02000823
SE6,E02000670
SE7,E02000324
SE8,E02000654
SE9,E02000340
SE99,E02000826
SW1,E02000979
SW10,E02000394
SW11,E02000930
SW12,E02000640
SW13,E02000786
SW14,E02000795
SW15,E02000928
SW16,E02000646
SW17,E02000953
SW18,E02000934
SW19,E02000694
SW2,E02000637
SW20,E02000599
SW3,E02000588
SW4,E02000630
SW5,E02000596
SW6,E02000392
SW7,E02000978
SW8,E02000623
SW9,E02000624
SW95,E02000924
SW99,E02000624
W1,E02000970
W10,E02000963
W11,E02000969
W12,E02000372
W13,E02000253
W14,E02000381
W2,E02000974
W3,E02000252
W4,E02000271
W5,E02000248
W6,E02000384
W7,E02000253
W8,E02000584
W9,E02000966
WC1,E02000193
WC2,E02000193
WC99,E02000193
