pcd2,msoa01,region-code,borough-code,areacode
E1   0AA,E02000885,E,E1,0AA
E1   0AB,E02000885,E,E1,0AB
E1   0AD,E02000885,E,E1,0AD
E1   0AE,E02000888,E,E1,0AE
E1   0AF,E02000885,E,E1,0AF
E1   0AG,E02000885,E,E1,0AG
E1   0AH,E02000885,E,E1,0AH
E1   0AJ,E02000888,E,E1,0AJ
E1   0AL,E02000888,E,E1,0AL
E1   0AN,E02000888,E,E1,0AN
E1   0AP,E02000885,E,E1,0AP
E1   0AQ,E02000885,E,E1,0AQ
E1   0AR,E02000888,E,E1,0AR
E1   0AS,E02000888,E,E1,0AS
E1   0AT,E02000885,E,E1,0AT
E1   0AU,E02000888,E,E1,0AU
E1   0AW,E02000885,E,E1,0AW
E1   0AX,E02000888,E,E1,0AX
E1   0AY,E02000885,E,E1,0AY
E1   0AZ,E02000885,E,E1,0AZ
E1   0BA,E02000885,E,E1,0BA
E1   0BB,E02000885,E,E1,0BB
E1   0BD,E02000885,E,E1,0BD
E1   0BE,E02000885,E,E1,0BE
E1   0BF,E02000885,E,E1,0BF
E1   0BG,E02000885,E,E1,0BG
E1   0BH,E02000888,E,E1,0BH
E1   0BJ,E02000889,E,E1,0BJ
E1   0BL,E02000888,E,E1,0BL
E1   0BN,E02000885,E,E1,0BN
E1   0BP,E02000888,E,E1,0BP
E1   0BQ,E02000885,E,E1,0BQ
E1   0BS,E02000888,E,E1,0BS
E1   0BT,E02000888,E,E1,0BT
E1   0BU,E02000888,E,E1,0BU
E1   0BW,E02000888,E,E1,0BW
E1   0BX,E02000888,E,E1,0BX
E1   0BY,E02000888,E,E1,0BY
E1   0BZ,E02000888,E,E1,0BZ
E1   0DA,E02000888,E,E1,0DA
E1   0DB,E02000885,E,E1,0DB
E1   0DD,E02000888,E,E1,0DD
E1   0DE,E02000888,E,E1,0DE
E1   0DF,E02000888,E,E1,0DF
E1   0DG,E02000888,E,E1,0DG
E1   0DH,E02000888,E,E1,0DH
E1   0DJ,E02000885,E,E1,0DJ
E1   0DL,E02000885,E,E1,0DL
E1   0DN,E02000888,E,E1,0DN
E1   0DP,E02000885,E,E1,0DP
E1   0DQ,E02000885,E,E1,0DQ
E1   0DR,E02000888,E,E1,0DR
E1   0DS,E02000885,E,E1,0DS
E1   0DT,E02000885,E,E1,0DT
E1   0DU,E02000885,E,E1,0DU
E1   0DW,E02000888,E,E1,0DW
E1   0DX,E02000885,E,E1,0DX
E1   0DY,E02000888,E,E1,0DY
E1   0DZ,E02000885,E,E1,0DZ
E1   0EA,E02000885,E,E1,0EA
E1   0EB,E02000885,E,E1,0EB
E1   0ED,E02000888,E,E1,0ED
E1   0EE,E02000888,E,E1,0EE
E1   0EF,E02000885,E,E1,0EF
E1   0EG,E02000885,E,E1,0EG
E1   0EH,E02000888,E,E1,0EH
E1   0EJ,E02000888,E,E1,0EJ
E1   0EL,E02000885,E,E1,0EL
E1   0EN,E02000882,E,E1,0EN
E1   0EP,E02000879,E,E1,0EP
E1   0EQ,E02000888,E,E1,0EQ
E1   0ER,E02000879,E,E1,0ER
E1   0ES,E02000879,E,E1,0ES
E1   0ET,E02000879,E,E1,0ET
E1   0EU,E02000889,E,E1,0EU
E1   0EW,E02000888,E,E1,0EW
E1   0EX,E02000889,E,E1,0EX
E1   0EY,E02000889,E,E1,0EY
E1   0EZ,E02000889,E,E1,0EZ
E1   0FA,E02000882,E,E1,0FA
E1   0FB,E02000879,E,E1,0FB
E1   0FD,E02000888,E,E1,0FD
E1   0FE,E02000888,E,E1,0FE
E1   0FU,E02000888,E,E1,0FU
E1   0HA,E02000879,E,E1,0HA
E1   0HE,E02000885,E,E1,0HE
E1   0HF,E02000879,E,E1,0HF
E1   0HH,E02000888,E,E1,0HH
E1   0HJ,E02000882,E,E1,0HJ
E1   0HL,E02000888,E,E1,0HL
E1   0HQ,E02000879,E,E1,0HQ
E1   0HR,E02000888,E,E1,0HR
E1   0HS,E02000888,E,E1,0HS
E1   0HT,E02000888,E,E1,0HT
E1   0HU,E02000888,E,E1,0HU
E1   0HW,E02000888,E,E1,0HW
E1   0HX,E02000888,E,E1,0HX
E1   0HY,E02000888,E,E1,0HY
E1   0HZ,E02000888,E,E1,0HZ
E1   0JA,E02000880,E,E1,0JA
E1   0JB,E02000888,E,E1,0JB
