id,displayName,primaryTypeDisplayName,rating,userRatingCount,location,shortFormattedAddress,googleMapsUri,priceRange,priceLevel,websiteUri,businessStatus,types,primaryType
ChIJzQJpuMUFdkgRi0_f5sYYmPc,willows,Restaurant,4.7,647.0,"{'latitude': 51.463404499999996, 'longitude': -0.1411175}","11 The Polygon, London",https://maps.google.com/?cid=17841037166384205707&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",,http://willowsclapham.com/,OPERATIONAL,"['restaurant', 'brunch_restaurant', 'wine_bar', 'bar', 'food', 'point_of_interest', 'establishment']",restaurant
ChIJGWdASG4FdkgRcoyb2MriFgo,The Pig's Head,Gastropub,4.6,594.0,"{'latitude': 51.4656496, 'longitude': -0.14105869999999998}","87 Rectory Grove, London",https://maps.google.com/?cid=727017750712257650&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '30'}, 'endPrice': {'currencyCode': 'GBP', 'units': '70'}}",,http://www.thepigshead.com/,OPERATIONAL,"['gastropub', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",gastropub
ChIJHdc2Rq0FdkgRNkQ9YeRS1ig,Trinity,Fine Dining Restaurant,4.8,1035.0,"{'latitude': 51.4634942, 'longitude': -0.1414242}","4 The Polygon, London",https://maps.google.com/?cid=2942630547370624054&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '100'}}",PRICE_LEVEL_VERY_EXPENSIVE,http://www.trinityrestaurant.co.uk/,OPERATIONAL,"['fine_dining_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",fine_dining_restaurant
ChIJlURGVFYFdkgRU2hdZLDdSvs,Brew & Barrel,Brunch Restaurant,4.7,410.0,"{'latitude': 51.463973599999996, 'longitude': -0.1418398}","36A Old Town, London",https://maps.google.com/?cid=18107529001464326227&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://www.brewandbarrelsw4.com/,OPERATIONAL,"['brunch_restaurant', 'cocktail_bar', 'coffee_shop', 'cafe', 'bar', 'food_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",brunch_restaurant
ChIJCf4S200FdkgR2RxaDBhSb_c,Margot Green,Restaurant,4.6,266.0,"{'latitude': 51.4640557, 'longitude': -0.1417714}","34-36 Old Town, London",https://maps.google.com/?cid=17829559713023007961&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",,https://www.daisygreenfood.com/location-margot,OPERATIONAL,"['restaurant', 'cocktail_bar', 'brunch_restaurant', 'coffee_shop', 'cafe', 'breakfast_restaurant', 'australian_restaurant', 'meal_takeaway', 'bar', 'food_store', 'food', 'point_of_interest', 'store', 'establishment']",restaurant
ChIJ8cu1S7EFdkgRNK8S8lwDGe4,Buddy's Deli,Sandwich Shop,4.6,104.0,"{'latitude': 51.463730600000005, 'longitude': -0.1412332}","Rose & Crown, 1 The Polygon, London",https://maps.google.com/?cid=17156747953177800500&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,https://www.instagram.com/buddys_deli?igsh=NHRvOHVlandkY2Mz,OPERATIONAL,"['sandwich_shop', 'restaurant', 'food', 'point_of_interest', 'establishment']",sandwich_shop
ChIJ_9enQMsFdkgRtaW01gBhV4I,Brorritos - Clapham,Mexican Restaurant,4.9,317.0,"{'latitude': 51.465872499999996, 'longitude': -0.1417987}","13 North St, London",https://maps.google.com/?cid=9392082204134516149&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,http://www.brorritos.co.uk/,OPERATIONAL,"['mexican_restaurant', 'vegan_restaurant', 'halal_restaurant', 'vegetarian_restaurant', 'dessert_restaurant', 'taco_restaurant', 'meal_takeaway', 'burrito_restaurant', 'fast_food_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",mexican_restaurant
ChIJ36APYg0FdkgR8DRF4-44s_k,Upstairs,Restaurant,4.7,102.0,"{'latitude': 51.4635207, 'longitude': -0.14152009999999998}","4 The Polygon, London",https://maps.google.com/?cid=17992787534941598960&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,,http://www.trinity-upstairs.co.uk/,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
ChIJHQGzXxMFdkgRGWl3bKP8JsY,China Garden (Clapham),Takeout Restaurant,4.5,198.0,"{'latitude': 51.4658386, 'longitude': -0.14174119999999998}","11 North St, London",https://maps.google.com/?cid=14278377447454370073&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",,https://www.chinagardenexpress.co.uk/clapham/?mtm_campaign=Business%20Profiles&mtm_kwd=Google%20Business,OPERATIONAL,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_takeaway
ChIJUWCMxwoFdkgRnxmlkrlodFQ,Omnibus Cafe,Brunch Restaurant,4.6,9.0,"{'latitude': 51.463649999999994, 'longitude': -0.142405}","1 Clapham Common North Side, London",https://maps.google.com/?cid=6085604142722914719&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,https://www.brewandbarrelsw4.com/,OPERATIONAL,"['brunch_restaurant', 'coffee_shop', 'cafe', 'pub', 'bar', 'food_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",brunch_restaurant
ChIJ5XDMExwFdkgRyoMR0infjOg,Marlowes Clapham,Hamburger Restaurant,2.4,11.0,"{'latitude': 51.466175799999995, 'longitude': -0.1421391}","29 North St, London",https://maps.google.com/?cid=16757013684249789386&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,,,OPERATIONAL,"['hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",hamburger_restaurant
ChIJNViN4SgFdkgRFwFadyrVo94,KAUAI Virgin Active Clapham,Restaurant,,,"{'latitude': 51.466197099999995, 'longitude': -0.14173639999999998}","4-20 North St, London",https://maps.google.com/?cid=16042900675991568663&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,,https://kauai.co.za/global/kauai-london-uk/,OPERATIONAL,"['restaurant', 'food', 'point_of_interest', 'establishment']",restaurant
