id,displayName,primaryTypeDisplayName,rating,userRatingCount,location,shortFormattedAddress,googleMapsUri,priceRange,priceLevel,websiteUri,businessStatus,types,primaryType
ChIJzQJpuMUFdkgRi0_f5sYYmPc,willows,Restaurant,4.7,647,"{'latitude': 51.463404499999996, 'longitude': -0.1411175}","11 The Polygon, London",https://maps.google.com/?cid=17841037166384205707&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",,http://willowsclapham.com/,OPERATIONAL,"['restaurant', 'brunch_restaurant', 'wine_bar', 'bar', 'food', 'point_of_interest', 'establishment']",restaurant
ChIJCdydQTwFdkgRLRWkVchU7NQ,Megan's Clapham Old Town Restaurant (Clapham),Mediterranean Restaurant,4.6,4270,"{'latitude': 51.4634095, 'longitude': -0.1407742}","55-57 The Pavement, London",https://maps.google.com/?cid=15342731249951446317&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",PRICE_LEVEL_MODERATE,https://megans.co.uk/locations/megans-clapham/,OPERATIONAL,"['mediterranean_restaurant', 'breakfast_restaurant', 'cafe', 'brunch_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",mediterranean_restaurant
ChIJGWdASG4FdkgRcoyb2MriFgo,The Pig's Head,Gastropub,4.6,594,"{'latitude': 51.4656496, 'longitude': -0.14105869999999998}","87 Rectory Grove, London",https://maps.google.com/?cid=727017750712257650&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '30'}, 'endPrice': {'currencyCode': 'GBP', 'units': '70'}}",,http://www.thepigshead.com/,OPERATIONAL,"['gastropub', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",gastropub
ChIJHdc2Rq0FdkgRNkQ9YeRS1ig,Trinity,Fine Dining Restaurant,4.8,1035,"{'latitude': 51.4634942, 'longitude': -0.1414242}","4 The Polygon, London",https://maps.google.com/?cid=2942630547370624054&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '100'}}",PRICE_LEVEL_VERY_EXPENSIVE,http://www.trinityrestaurant.co.uk/,OPERATIONAL,"['fine_dining_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",fine_dining_restaurant
ChIJTWz4bgQFdkgRH-MuIn2pJ90,Cher Thai Eatery,Thai Restaurant,4.8,689,"{'latitude': 51.466591099999995, 'longitude': -0.1423447}","22 North St, London",https://maps.google.com/?cid=15935892161383293727&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",PRICE_LEVEL_MODERATE,https://www.cherthailondon.co.uk/,OPERATIONAL,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",thai_restaurant
ChIJlURGVFYFdkgRU2hdZLDdSvs,Brew & Barrel,Brunch Restaurant,4.7,410,"{'latitude': 51.463973599999996, 'longitude': -0.1418398}","36A Old Town, London",https://maps.google.com/?cid=18107529001464326227&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://www.brewandbarrelsw4.com/,OPERATIONAL,"['brunch_restaurant', 'coffee_shop', 'cocktail_bar', 'cafe', 'bar', 'food_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",brunch_restaurant
ChIJ7UzTGXwFdkgRV0q0Pu5pGko,Maiella Worth,Italian Restaurant,4.8,429,"{'latitude': 51.466760199999996, 'longitude': -0.1478053}","789 Wandsworth Rd, London",https://maps.google.com/?cid=5339696780176280151&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",,https://www.maiellaworth.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=13365231475119246692,OPERATIONAL,"['italian_restaurant', 'coffee_shop', 'deli', 'bistro', 'liquor_store', 'cafe', 'food_store', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",italian_restaurant
ChIJCf4S200FdkgR2RxaDBhSb_c,Margot Green,Restaurant,4.6,266,"{'latitude': 51.4640557, 'longitude': -0.1417714}","34-36 Old Town, London",https://maps.google.com/?cid=17829559713023007961&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",,https://www.daisygreenfood.com/location-margot,OPERATIONAL,"['restaurant', 'coffee_shop', 'australian_restaurant', 'meal_takeaway', 'breakfast_restaurant', 'cocktail_bar', 'cafe', 'brunch_restaurant', 'bar', 'food_store', 'food', 'store', 'point_of_interest', 'establishment']",restaurant
ChIJ8cu1S7EFdkgRNK8S8lwDGe4,Buddy's Deli,Sandwich Shop,4.6,104,"{'latitude': 51.463730600000005, 'longitude': -0.1412332}","Rose & Crown, 1 The Polygon, London",https://maps.google.com/?cid=17156747953177800500&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,https://www.instagram.com/buddys_deli?igsh=NHRvOHVlandkY2Mz,OPERATIONAL,"['sandwich_shop', 'restaurant', 'food', 'point_of_interest', 'establishment']",sandwich_shop
ChIJV8z7MbIFdkgRBvuAh7AVadM,Paradise cove Battersea,Caribbean Restaurant,4.6,862,"{'latitude': 51.470769399999995, 'longitude': -0.1378883}","515 Wandsworth Rd, London",https://maps.google.com/?cid=15233731062489217798&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,"{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",,http://www.paradisecovebattersea.com/,OPERATIONAL,"['caribbean_restaurant', 'brewery', 'vegan_restaurant', 'pub', 'cafe', 'vegetarian_restaurant', 'wine_bar', 'bar', 'manufacturer', 'restaurant', 'food', 'service', 'point_of_interest', 'establishment']",caribbean_restaurant
