id,displayName,primaryTypeDisplayName,primaryType,types,rating,userRatingCount,location,shortFormattedAddress,priceRange,priceLevel,googleMapsUri,websiteUri,businessStatus,summaryType,takeaway,wilson_score,wilson_quantile
ChIJXwOyeXIFdkgRErRzmZrUBJE,Popeyes Louisiana Chicken,Chicken Restaurant,chicken_restaurant,"['chicken_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.9,2650.0,"{'latitude': 51.4626617, 'longitude': -0.1361444}","152 Clapham High St, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=10449710795870942226&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://popeyesuk.com/restaurants/clapham,OPERATIONAL,Fast Food,Dine-In,0.9683326836835708,1.0
ChIJ0x8b0F8FdkgR6_BkIm53B6c,Slab City Pizza,Pizza Restaurant,pizza_restaurant,"['pizza_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.9,403.0,"{'latitude': 51.461858899999996, 'longitude': -0.1389673}","8 The Pavement, London","{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,https://maps.google.com/?cid=12035719844078088427&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.slabcitypizza.co.uk/,OPERATIONAL,Pizza,Dine-In,0.9546946465601956,0.9942857142857143
ChIJL8g3OwAFdkgRVYmXaDlyWDg,Mate’s Clapham Restaurant,Restaurant,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",4.9,341.0,"{'latitude': 51.453897299999994, 'longitude': -0.1462055}","3 Clapham Common South Side, London","{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '60'}}",,https://maps.google.com/?cid=4060120654967966037&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://matesbooking.com/guest,OPERATIONAL,Restaurant,Dine-In,0.9524011010874913,0.9885714285714285
ChIJ_9enQMsFdkgRtaW01gBhV4I,Brorritos - Clapham,Mexican Restaurant,mexican_restaurant,"['mexican_restaurant', 'vegan_restaurant', 'halal_restaurant', 'vegetarian_restaurant', 'dessert_restaurant', 'taco_restaurant', 'meal_takeaway', 'burrito_restaurant', 'fast_food_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.9,317.0,"{'latitude': 51.465872499999996, 'longitude': -0.1417987}","13 North St, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=9392082204134516149&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.brorritos.co.uk/,OPERATIONAL,Latin American,Dine-In,0.9513070001231066,0.9828571428571429
ChIJuROZxXgFdkgRWxD-_bpxi5k,Brekkie Cafe & Restaurant,Restaurant,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",4.9,207.0,"{'latitude': 51.477167699999995, 'longitude': -0.1460309}","153 Battersea Park Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=11064061957504897115&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,OPERATIONAL,Cafe & Coffee,Dine-In,0.9435632731251649,0.9771428571428571
ChIJfQZYnIEFdkgR_H9607xKO18,Berry & Maple,Brunch Restaurant,brunch_restaurant,"['brunch_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.9,199.0,"{'latitude': 51.4539201, 'longitude': -0.1461804}","2 Cavendish Parade, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=6862160632091410428&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://berryandmaple.co.uk/,OPERATIONAL,Brunch & Breakfast,Dine-In,0.9427110155442728,0.9714285714285714
ChIJHdc2Rq0FdkgRNkQ9YeRS1ig,Trinity,Fine Dining Restaurant,fine_dining_restaurant,"['fine_dining_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.8,1035.0,"{'latitude': 51.4634942, 'longitude': -0.1414242}","4 The Polygon, London","{'startPrice': {'currencyCode': 'GBP', 'units': '100'}}",PRICE_LEVEL_VERY_EXPENSIVE,https://maps.google.com/?cid=2942630547370624054&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.trinityrestaurant.co.uk/,OPERATIONAL,Fine Dining,Dine-In,0.9349784264239455,0.9657142857142857
ChIJvwxh1AQFdkgRgDwh48YTpk0,Slurp & Savour 鄂了嗦粉,Chinese Noodle Restaurant,chinese_noodle_restaurant,"['chinese_noodle_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.9,143.0,"{'latitude': 51.4766202, 'longitude': -0.14783949999999998}","14 Battersea Park Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=5595181331989478528&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,OPERATIONAL,Chinese,Dine-In,0.9344288166783914,0.96
ChIJO2qIi44FdkgRW3MeEaxNqns,Red Vine Restaurant & Cocktail Lounge & Late Bar 🍸✨,Restaurant,restaurant,"['pizza_restaurant', 'cocktail_bar', 'japanese_curry_restaurant', 'japanese_restaurant', 'restaurant', 'food', 'bar', 'point_of_interest', 'establishment']",4.8,767.0,"{'latitude': 51.4615284, 'longitude': -0.13805199999999998}","9 Clapham Common South Side, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=8911020214122869595&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.redvinerestaurant.com/,OPERATIONAL,Pizza,Dine-In,0.9322089675559154,0.9542857142857143
ChIJTWz4bgQFdkgRH-MuIn2pJ90,Cher Thai Eatery,Thai Restaurant,thai_restaurant,"['thai_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.8,689.0,"{'latitude': 51.466591099999995, 'longitude': -0.1423447}","22 North St, London","{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=15935892161383293727&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.cherthailondon.co.uk/,OPERATIONAL,Thai,Dine-In,0.9310854161048359,0.9485714285714286
