id,displayName,primaryTypeDisplayName,primaryType,types,rating,userRatingCount,location,shortFormattedAddress,priceRange,priceLevel,googleMapsUri,websiteUri,businessStatus,summaryType,takeaway
ChIJ8STD7OoFdkgR9IyRF284hc0,Selekt Chicken - Nine Elms,Restaurant,restaurant,"['fast_food_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.7,659.0,"{'latitude': 51.4746038, 'longitude': -0.1324822}","252 Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,https://maps.google.com/?cid=14809304999465684212&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.selektchicken.com/,OPERATIONAL,Fast Food,Dine-In
ChIJU_VgJQAFdkgRK5zBdVvxNn0,Paimbha Indian restaurant,Indian Restaurant,indian_restaurant,"['indian_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.6,86.0,"{'latitude': 51.4741697, 'longitude': -0.1328982}","indian Restaurant, paimbha, 266 Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=9022664278603308075&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://paimbharestaurant.co.uk/,OPERATIONAL,South Asian,Dine-In
ChIJXSngkPgEdkgRaWmfsAy9ipE,Pak Hong Fish Bar,Takeout Restaurant,meal_takeaway,"['meal_delivery', 'food_delivery', 'chinese_restaurant', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",3.4,151.0,"{'latitude': 51.4736693, 'longitude': -0.1330481}","413 Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=10487402544486115689&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://pakhongfishbar.wixsite.com/pakhong,OPERATIONAL,Seafood,Takeaway Only
ChIJIX1Dl_gEdkgRnbxNdBlO3_4,Aquarium Snack Bar,Portuguese Restaurant,portuguese_restaurant,"['portuguese_restaurant', 'cafe', 'breakfast_restaurant', 'night_club', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.5,52.0,"{'latitude': 51.473599799999995, 'longitude': -0.1331191}","415 Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",,https://maps.google.com/?cid=18365483676672572573&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.facebook.com/aquariumclubldn/,OPERATIONAL,European,Dine-In
ChIJfYupU_YFdkgR6QZiJU6p40k,Lahori Grill,Indian Restaurant,indian_restaurant,"['indian_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.6,45.0,"{'latitude': 51.474205299999994, 'longitude': -0.1329879}","266 Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=5324285337581782761&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,,OPERATIONAL,South Asian,Dine-In
ChIJY4X5z1UEdkgRZCzKUQavb0w,McDonald's,Fast Food Restaurant,fast_food_restaurant,"['fast_food_restaurant', 'chicken_restaurant', 'diner', 'breakfast_restaurant', 'hamburger_restaurant', 'american_restaurant', 'service', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.4,2349.0,"{'latitude': 51.471587299999996, 'longitude': -0.13697779999999998}","368, 370 Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '1'}, 'endPrice': {'currencyCode': 'GBP', 'units': '10'}}",PRICE_LEVEL_INEXPENSIVE,https://maps.google.com/?cid=5507813310974274660&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.mcdonalds.com/gb/en-gb.html?cid=RF:YEXT:GMB:8260912:Clicks:DIRSYN:,OPERATIONAL,Fast Food,Dine-In
ChIJxVqHTfgEdkgRD4dZm8lBnSc,A Toca Restaurant,Portuguese Restaurant,portuguese_restaurant,"['portuguese_restaurant', 'tapas_restaurant', 'greek_restaurant', 'croatian_restaurant', 'turkish_restaurant', 'french_restaurant', 'italian_restaurant', 'church', 'place_of_worship', 'meal_takeaway', 'spanish_restaurant', 'restaurant', 'point_of_interest', 'food', 'association_or_organization', 'establishment']",4.4,2412.0,"{'latitude': 51.475376399999995, 'longitude': -0.1311439}","341 Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '30'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=2854510072973330191&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.atoca-lambeth.co.uk/,OPERATIONAL,European,Dine-In
ChIJgZTay1IFdkgRexi6lbhzsL4,After Hours,Soul Food Restaurant,soul_food_restaurant,"['soul_food_restaurant', 'halal_restaurant', 'vegan_restaurant', 'dessert_restaurant', 'vegetarian_restaurant', 'hookah_bar', 'cocktail_bar', 'chicken_restaurant', 'lounge_bar', 'night_club', 'bar', 'american_restaurant', 'meal_takeaway', 'event_venue', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.0,278.0,"{'latitude': 51.476768299999996, 'longitude': -0.13044100000000003}","178a Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '50'}}",,https://maps.google.com/?cid=13740609699730561147&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.theafterhourslounge.com/,OPERATIONAL,American,Dine-In
ChIJOzRnUvgEdkgRdjLrE_0qwXg,Casa Benfica - Londres,Portuguese Restaurant,portuguese_restaurant,"['portuguese_restaurant', 'cafe', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.5,238.0,"{'latitude': 51.4752155, 'longitude': -0.13161119999999998}","Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '40'}}",,https://maps.google.com/?cid=8701283221505782390&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://m.facebook.com/CasaBenficaLondres/,OPERATIONAL,European,Dine-In
ChIJAep23wQFdkgRgzleMAR9UGo,Lusitania,Portuguese Restaurant,portuguese_restaurant,"['portuguese_restaurant', 'mediterranean_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.2,465.0,"{'latitude': 51.475081499999995, 'longitude': -0.1314164}","353 Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '20'}, 'endPrice': {'currencyCode': 'GBP', 'units': '70'}}",PRICE_LEVEL_MODERATE,https://maps.google.com/?cid=7660760423102036355&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,https://www.restaurantelusitania.co.uk/,OPERATIONAL,European,Dine-In
ChIJZVJOlfkEdkgRvyf37HzvVfI,Meskerem,Ethiopian Restaurant,ethiopian_restaurant,"['ethiopian_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",4.7,100.0,"{'latitude': 51.4768894, 'longitude': -0.1305247}","176a Wandsworth Rd, London","{'startPrice': {'currencyCode': 'GBP', 'units': '10'}, 'endPrice': {'currencyCode': 'GBP', 'units': '20'}}",,https://maps.google.com/?cid=17462126450029569983&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,http://www.findhabesha.com/component/jbusinessdirectory/companies/281?Itemid=3,OPERATIONAL,African,Dine-In
